Code,상장폐지일,상장폐지사유
A000010,20040702.0,신한금융지주회사의완전자회사편입(100%소유)
A000020,,
A000030,,
A000040,,
A000050,,
A000060,,
A000070,,
A000080,,
A000090,19981009.0,㈜두산(구 오비맥주)에 피흡수합병으로 인한 해산
A000100,,
A000110,20050422.0,자진상장폐지신청
A000120,,
A000130,19990111.0,㈜한국상업은행과 합병후 해산
A000140,,
A000150,,
A000160,19991027.0,상장폐지유예기간종료(영업활동정지 및 주요자산 경매신청)
A000170,19990408.0,LG산전㈜에 피흡수합병으로 인한 해산
A000180,,
A000200,20010523.0,영업활동에필요한자산을보유하고있지않음
A000210,,
A000220,,
A000230,,
A000240,,
A000270,,
A000280,20010607.0,회사정리절차폐지결정
A000300,,
A000310,20011110.0,주요 영업용자산 매각에 따른 영업활동정지
A000320,,
A000330,19981009.0,㈜두산(구 오비맥주)에 피흡수합병으로 인한 해산
A000360,20150415.0,자본전액잠식
A000370,,
A000390,,
A000400,,
A000420,20150224.0,감사의견 의견거절
A000430,,
A000450,19981118.0,영업활동정지 및 주요자산의 경매 2회이상 유찰로 유예기간단축
A000470,20120716.0,자본전액잠식
A000480,,
A000490,,
A000500,,
A000510,19990525.0,자본전액잠식 3년계속
A000520,,
A000540,,
A000570,19990322.0,금호타이어㈜에 피흡수합병으로 인한 해산
A000590,,
A000610,20100120.0,한화손해보험(주)에 피흡수합병으로 인한 해산
A000640,,
A000650,,
A000660,,
A000670,,
A000680,,
A000700,,
A000720,,
A000730,19950525.0,"자본전액잠식 10년 계속, 공시서류미제출"
A000760,,
A000790,20090513.0,2008사업연도 감사인의 감사보고서상 감사의견거절
A000800,20150415.0,자본전액잠식
A000810,,
A000830,20150915.0,해산 사유 발생
A000840,20000630.0,회사정리절차 폐지확정에 따른 상장폐지유예기간 종료
A000850,,
A000860,,
A000880,,
A000890,,
A000900,20000412.0,인천제철㈜에 피흡수합병으로 인한 해산
A000910,,
A000930,19990104.0,㈜한화에 피흡수합병으로 인한 해산
A000950,,
A000970,,
A000980,20031015.0,신청에 의한 상장폐지
A000990,,
A001020,,
A001030,20020810.0,2001사업년도 외부감사인의 감사의견거절
A001040,,
