Code,상장된 시장,한글명
A000020,KOSPI,동화약품
A000030,KOSPI,우리은행
A000040,KOSPI,KR모터스
A000050,KOSPI,경방
A000060,KOSPI,메리츠화재
A000070,KOSPI,삼양홀딩스
A000080,KOSPI,하이트진로
A000100,KOSPI,유한양행
A000120,KOSPI,CJ대한통운
A000140,KOSPI,하이트진로홀딩스
A000150,KOSPI,두산
A000180,KOSPI,성창기업지주
A000210,KOSPI,대림산업
A000220,KOSPI,유유제약
A000230,KOSPI,일동홀딩스
A000240,KOSPI,한국타이어월드와이드
A000270,KOSPI,기아차
A000300,KOSPI,대유플러스
A000320,KOSPI,노루홀딩스
A000370,KOSPI,한화손해보험
A000390,KOSPI,삼화페인트
A000400,KOSPI,롯데손해보험
A000430,KOSPI,대원강업
A000480,KOSPI,조선내화
A000490,KOSPI,대동공업
A000500,KOSPI,가온전선
A000520,KOSPI,삼일제약
A000540,KOSPI,흥국화재
A000590,KOSPI,CS홀딩스
A000640,KOSPI,동아쏘시오홀딩스
A000650,KOSPI,천일고속
A000660,KOSPI,SK하이닉스
A000670,KOSPI,영풍
A000680,KOSPI,LS네트웍스
A000700,KOSPI,유수홀딩스
A000720,KOSPI,현대건설
A000760,KOSPI,이화산업
A000810,KOSPI,삼성화재
A000850,KOSPI,화천기공
A000860,KOSPI,강남제비스코
A000880,KOSPI,한화
A000890,KOSPI,보해양조
A000910,KOSPI,유니온
A000950,KOSPI,전방
A000970,KOSPI,한국주철관
A000990,KOSPI,DB하이텍
A001020,KOSPI,페이퍼코리아
A001040,KOSPI,CJ
A001060,KOSPI,JW중외제약
A001070,KOSPI,대한방직
A001080,KOSPI,만호제강
A001120,KOSPI,LG상사
A001130,KOSPI,대한제분
A001140,KOSPI,국보
A001200,KOSPI,유진투자증권
A001210,KOSPI,금호전기
A001230,KOSPI,동국제강
A001250,KOSPI,GS글로벌
A001260,KOSPI,남광토건
A001270,KOSPI,부국증권
A001290,KOSPI,골든브릿지증권
A001340,KOSPI,백광산업
A001360,KOSPI,삼성제약
A001380,KOSPI,SG충방
A001390,KOSPI,KG케미칼
A001420,KOSPI,태원물산
A001430,KOSPI,세아베스틸
A001440,KOSPI,대한전선
A001450,KOSPI,현대해상
A001460,KOSPI,BYC
A001470,KOSPI,삼부토건
A001500,KOSPI,현대차증권
A001510,KOSPI,SK증권
A001520,KOSPI,동양
A001530,KOSPI,동일방직
A001550,KOSPI,조비
A001560,KOSPI,제일연마
A001570,KOSPI,금양
A001620,KOSPI,동국실업
A001630,KOSPI,종근당홀딩스
A001680,KOSPI,대상
A001720,KOSPI,신영증권
A001740,KOSPI,SK네트웍스
A001750,KOSPI,한양증권
A001770,KOSPI,신화실업
A001780,KOSPI,알루코
A001790,KOSPI,대한제당
A001800,KOSPI,오리온홀딩스
A001820,KOSPI,삼화콘덴서
A001880,KOSPI,삼호
A001940,KOSPI,KISCO홀딩스
A002020,KOSPI,코오롱
A002030,KOSPI,아세아
A002070,KOSPI,남영비비안
A002100,KOSPI,경농
A002140,KOSPI,고려산업
A002150,KOSPI,도화엔지니어링
A002170,KOSPI,삼양통상
A002200,KOSPI,수출포장
A002210,KOSPI,동성제약
A002220,KOSPI,한일철강
A002240,KOSPI,고려제강
A002250,KOSPI,알보젠코리아
A002270,KOSPI,롯데푸드
A002300,KOSPI,한국제지
A002310,KOSPI,아세아제지
A002320,KOSPI,한진
A002350,KOSPI,넥센타이어
A002360,KOSPI,SH에너지화학
A002380,KOSPI,KCC
A002390,KOSPI,한독
A002410,KOSPI,범양건영
A002420,KOSPI,세기상사
A002450,KOSPI,삼익악기
A002460,KOSPI,화성산업
A002600,KOSPI,조흥
A002620,KOSPI,제일파마홀딩스
A002630,KOSPI,오리엔트바이오
A002690,KOSPI,동일제강
A002700,KOSPI,신일산업
A002710,KOSPI,TCC동양
A002720,KOSPI,국제약품
A002760,KOSPI,보락
A002780,KOSPI,진흥기업
A002790,KOSPI,아모레G
A002810,KOSPI,삼영무역
A002820,KOSPI,선창산업
A002840,KOSPI,미원상사
A002870,KOSPI,신풍제지
A002880,KOSPI,대유에이텍
A002900,KOSPI,동양물산
A002920,KOSPI,유성기업
A002960,KOSPI,한국쉘석유
A002990,KOSPI,금호산업
A003000,KOSPI,부광약품
A003010,KOSPI,혜인
A003030,KOSPI,세아제강지주
A003060,KOSPI,에이프로젠제약
A003070,KOSPI,코오롱글로벌
A003080,KOSPI,성보화학
A003090,KOSPI,대웅
A003120,KOSPI,일성신약
A003160,KOSPI,디아이
A003200,KOSPI,일신방직
A003220,KOSPI,대원제약
A003230,KOSPI,삼양식품
A003240,KOSPI,태광산업
A003280,KOSPI,흥아해운
A003300,KOSPI,한일홀딩스
A003350,KOSPI,한국화장품제조
A003410,KOSPI,쌍용양회
A003460,KOSPI,유화증권
A003470,KOSPI,유안타증권
A003480,KOSPI,한진중공업홀딩스
A003490,KOSPI,대한항공
A003520,KOSPI,영진약품
A003530,KOSPI,한화투자증권
A003540,KOSPI,대신증권
A003550,KOSPI,LG
A003560,KOSPI,IHQ
A003570,KOSPI,S&T중공업
A003580,KOSPI,넥스트사이언스
A003610,KOSPI,방림
A003620,KOSPI,쌍용차
A003650,KOSPI,미창석유
A003680,KOSPI,한성기업
A003690,KOSPI,코리안리
A003720,KOSPI,삼영화학
A003780,KOSPI,진양산업
A003830,KOSPI,대한화섬
A003850,KOSPI,보령제약
A003920,KOSPI,남양유업
A003960,KOSPI,사조대림
A004000,KOSPI,롯데정밀화학
A004020,KOSPI,현대제철
A004060,KOSPI,SG세계물산
A004080,KOSPI,신흥
A004090,KOSPI,한국석유
A004100,KOSPI,태양금속
A004140,KOSPI,동방
A004150,KOSPI,한솔홀딩스
A004170,KOSPI,신세계
A004200,KOSPI,고려개발
A004250,KOSPI,NPC
A004270,KOSPI,남성
A004310,KOSPI,현대약품
A004360,KOSPI,세방
A004370,KOSPI,농심
A004380,KOSPI,삼익THK
A004410,KOSPI,서울식품
A004430,KOSPI,송원산업
A004440,KOSPI,대림씨엔에스
A004450,KOSPI,삼화왕관
A004490,KOSPI,세방전지
A004540,KOSPI,깨끗한나라
A004560,KOSPI,현대비앤지스틸
A004690,KOSPI,삼천리
A004700,KOSPI,조광피혁
A004710,KOSPI,한솔테크닉스
A004720,KOSPI,우리들제약
A004770,KOSPI,써니전자
A004800,KOSPI,효성
A004830,KOSPI,덕성
A004840,KOSPI,DRB동일
A004870,KOSPI,티웨이홀딩스
A004890,KOSPI,동일산업
A004910,KOSPI,조광페인트
A004920,KOSPI,씨아이테크
A004960,KOSPI,한신공영
A004970,KOSPI,신라교역
A004980,KOSPI,성신양회
A004990,KOSPI,롯데지주
A005010,KOSPI,휴스틸
A005030,KOSPI,부산주공
A005070,KOSPI,코스모신소재
A005090,KOSPI,삼광글라스
A005110,KOSPI,한창
A005180,KOSPI,빙그레
A005190,KOSPI,동성화학
A005250,KOSPI,녹십자홀딩스
A005300,KOSPI,롯데칠성
A005320,KOSPI,국동
A005360,KOSPI,모나미
A005380,KOSPI,현대차
A005390,KOSPI,신성통상
A005420,KOSPI,코스모화학
A005430,KOSPI,한국공항
A005440,KOSPI,현대그린푸드
A005450,KOSPI,신한
A005490,KOSPI,POSCO
A005500,KOSPI,삼진제약
A005610,KOSPI,SPC삼립
A005680,KOSPI,삼영전자
A005690,KOSPI,파미셀
A005720,KOSPI,넥센
A005740,KOSPI,크라운해태홀딩스
A005750,KOSPI,대림B&Co
