D A T E,IKQ001,IKQ150,IKQ002,IKQ003,IKQ004
1997-12-27,972.5,,,,
1998-01-03,983.9,,,,
1998-01-05,975.7,,,,
1998-01-06,964.0,,,,
1998-01-07,963.5,,,,
1998-01-08,962.2,,,,
1998-01-09,953.5,,,,
1998-01-10,966.3,,,,
1998-01-12,973.3,,,,
1998-01-13,975.2,,,,
1998-01-14,971.5,,,,
1998-01-15,988.2,,,,
1998-01-16,978.6,,,,
1998-01-17,985.4,,,,
1998-01-19,1002.4,,,,
1998-01-20,1000.5,,,,
1998-01-21,995.1,,,,
1998-01-22,980.5,,,,
1998-01-23,985.1,,,,
1998-01-24,994.6,,,,
1998-01-26,996.7,,,,
1998-01-30,1022.0,,,,
1998-01-31,1031.2,,,,
1998-02-02,1007.9,,,,
1998-02-03,1012.9,,,,
1998-02-04,1014.0,,,,
1998-02-05,1005.4,,,,
1998-02-06,1003.9,,,,
1998-02-07,1005.7,,,,
1998-02-09,1010.7,,,,
1998-02-10,999.0,,,,
1998-02-11,982.5,,,,
1998-02-12,963.3,,,,
1998-02-13,977.2,,,,
1998-02-14,980.9,,,,
1998-02-16,975.9,,,,
1998-02-17,967.6,,,,
1998-02-18,968.8,,,,
1998-02-19,980.3,,,,
1998-02-20,989.3,,,,
1998-02-21,986.8,,,,
1998-02-23,987.1,,,,
1998-02-24,983.1,,,,
1998-02-25,994.0,,,,
1998-02-26,996.9,,,,
1998-02-27,1016.5,,,,
1998-02-28,1032.7,,,,
1998-03-02,1052.2,,,,
1998-03-03,1075.7,,,,
1998-03-04,1069.9,,,,
1998-03-05,1057.6,,,,
1998-03-06,1057.0,,,,
1998-03-07,1053.8,,,,
1998-03-09,1041.2,,,,
1998-03-10,1044.0,,,,
1998-03-11,1068.6,,,,
1998-03-12,1076.1,,,,
1998-03-13,1050.1,,,,
1998-03-14,1037.4,,,,
1998-03-16,1060.8,,,,
1998-03-17,1043.3,,,,
1998-03-18,1036.0,,,,
1998-03-19,1032.6,,,,
1998-03-20,1028.5,,,,
1998-03-21,1019.8,,,,
1998-03-23,1002.5,,,,
1998-03-24,996.0,,,,
1998-03-25,1003.9,,,,
1998-03-26,1005.1,,,,
1998-03-27,999.9,,,,
1998-03-28,1022.3,,,,
1998-03-30,1026.3,,,,
1998-03-31,1030.6,,,,
1998-04-01,1018.4,,,,
1998-04-02,1001.6,,,,
1998-04-03,981.7,,,,
1998-04-04,963.4,,,,
1998-04-06,970.6,,,,
1998-04-07,977.1,,,,
1998-04-08,975.4,,,,
1998-04-09,982.3,,,,
1998-04-10,967.6,,,,
1998-04-11,977.9,,,,
1998-04-13,979.4,,,,
1998-04-14,970.0,,,,
1998-04-15,966.5,,,,
1998-04-16,962.2,,,,
1998-04-17,947.4,,,,
1998-04-18,945.2,,,,
1998-04-20,930.7,,,,
1998-04-21,949.0,,,,
1998-04-22,934.9,,,,
1998-04-23,916.5,,,,
1998-04-24,917.5,,,,
1998-04-25,914.8,,,,
1998-04-27,909.3,,,,
1998-04-28,885.3,,,,
1998-04-29,890.3,,,,
1998-04-30,906.0,,,,
1998-05-02,909.2,,,,
1998-05-04,900.2,,,,
1998-05-06,890.4,,,,
1998-05-07,889.9,,,,
1998-05-08,881.5,,,,
1998-05-09,883.7,,,,
1998-05-11,880.7,,,,
1998-05-12,873.8,,,,
1998-05-13,864.8,,,,
1998-05-14,853.8,,,,
1998-05-15,857.8,,,,
1998-05-16,856.3,,,,
1998-05-18,856.9,,,,
1998-05-19,866.3,,,,
1998-05-20,850.2,,,,
1998-05-21,853.3,,,,
1998-05-22,834.0,,,,
1998-05-23,848.6,,,,
1998-05-25,829.4,,,,
1998-05-26,795.0,,,,
1998-05-27,786.7,,,,
1998-05-28,797.3,,,,
1998-05-29,790.7,,,,
1998-05-30,782.9,,,,
1998-06-01,796.9,,,,
1998-06-02,794.8,,,,
1998-06-03,800.4,,,,
1998-06-05,801.1,,,,
1998-06-08,809.3,,,,
1998-06-09,804.2,,,,
1998-06-10,785.5,,,,
1998-06-11,781.0,,,,
1998-06-12,766.4,,,,
1998-06-13,758.2,,,,
1998-06-15,749.8,,,,
1998-06-16,734.8,,,,
1998-06-17,754.5,,,,
1998-06-18,773.1,,,,
1998-06-19,755.2,,,,
1998-06-20,770.8,,,,
1998-06-22,763.2,,,,
1998-06-23,752.7,,,,
1998-06-24,748.9,,,,
1998-06-25,748.5,,,,
1998-06-26,748.6,,,,
1998-06-27,752.4,,,,
1998-06-29,753.2,,,,
1998-06-30,746.7,,,,
1998-07-01,758.3,,,,
1998-07-02,758.5,,,,
1998-07-03,747.3,,,,
1998-07-04,748.0,,,,
1998-07-06,742.6,,,,
1998-07-07,744.3,,,,
1998-07-08,733.8,,,,
1998-07-09,733.0,,,,
1998-07-10,727.1,,,,
1998-07-11,730.3,,,,
1998-07-13,720.4,,,,
1998-07-14,720.1,,,,
1998-07-15,715.6,,,,
1998-07-16,726.3,,,,
1998-07-18,729.1,,,,
1998-07-20,729.6,,,,
1998-07-21,737.0,,,,
1998-07-22,720.4,,,,
1998-07-23,716.6,,,,
1998-07-24,717.0,,,,
1998-07-25,713.5,,,,
1998-07-27,706.5,,,,
1998-07-28,705.1,,,,
1998-07-29,709.3,,,,
1998-07-30,704.9,,,,
1998-07-31,698.1,,,,
1998-08-01,701.5,,,,
1998-08-03,699.4,,,,
1998-08-04,700.6,,,,
1998-08-05,700.1,,,,
1998-08-06,694.9,,,,
1998-08-07,691.8,,,,
1998-08-08,691.1,,,,
1998-08-10,687.1,,,,
1998-08-11,686.9,,,,
1998-08-12,687.0,,,,
1998-08-13,676.0,,,,
1998-08-14,682.3,,,,
1998-08-17,675.9,,,,
1998-08-18,668.1,,,,
1998-08-19,664.4,,,,
1998-08-20,662.3,,,,
1998-08-21,661.0,,,,
1998-08-22,658.8,,,,
1998-08-24,654.2,,,,
1998-08-25,655.5,,,,
1998-08-26,649.7,,,,
1998-08-27,644.6,,,,
1998-08-28,636.0,,,,
1998-08-29,634.8,,,,
1998-08-31,637.6,,,,
1998-09-01,628.3,,,,
1998-09-02,622.4,,,,
1998-09-03,618.3,,,,
1998-09-04,616.5,,,,
1998-09-05,615.5,,,,
1998-09-07,621.5,,,,
1998-09-08,625.1,,,,
1998-09-09,621.3,,,,
1998-09-10,617.6,,,,
1998-09-11,616.1,,,,
1998-09-12,613.9,,,,
1998-09-14,610.1,,,,
