D A T E,IKQ001,IKQ150,IKQ002,IKQ003,IKQ004
1997-12-27,979.1,,,,
1998-01-03,985.0,,,,
1998-01-05,989.0,,,,
1998-01-06,978.2,,,,
1998-01-07,970.6,,,,
1998-01-08,968.3,,,,
1998-01-09,962.2,,,,
1998-01-10,969.9,,,,
1998-01-12,980.7,,,,
1998-01-13,981.8,,,,
1998-01-14,980.1,,,,
1998-01-15,991.8,,,,
1998-01-16,1007.1,,,,
1998-01-17,986.4,,,,
1998-01-19,1005.8,,,,
1998-01-20,1015.1,,,,
1998-01-21,1000.5,,,,
1998-01-22,998.4,,,,
1998-01-23,990.8,,,,
1998-01-24,997.0,,,,
1998-01-26,999.4,,,,
1998-01-30,1024.3,,,,
1998-01-31,1042.5,,,,
1998-02-02,1031.8,,,,
1998-02-03,1017.2,,,,
1998-02-04,1018.4,,,,
1998-02-05,1014.7,,,,
1998-02-06,1011.6,,,,
1998-02-07,1007.1,,,,
1998-02-09,1012.2,,,,
1998-02-10,1013.0,,,,
1998-02-11,999.0,,,,
1998-02-12,982.5,,,,
1998-02-13,984.6,,,,
1998-02-14,996.5,,,,
1998-02-16,982.5,,,,
1998-02-17,979.1,,,,
1998-02-18,975.1,,,,
1998-02-19,984.8,,,,
1998-02-20,994.2,,,,
1998-02-21,990.8,,,,
1998-02-23,994.2,,,,
1998-02-24,988.5,,,,
1998-02-25,994.1,,,,
1998-02-26,1004.3,,,,
1998-02-27,1018.4,,,,
1998-02-28,1039.2,,,,
1998-03-02,1055.4,,,,
1998-03-03,1078.5,,,,
1998-03-04,1104.3,,,,
1998-03-05,1071.7,,,,
1998-03-06,1057.9,,,,
1998-03-07,1058.5,,,,
1998-03-09,1061.2,,,,
1998-03-10,1044.7,,,,
1998-03-11,1070.4,,,,
1998-03-12,1095.2,,,,
1998-03-13,1076.6,,,,
1998-03-14,1050.1,,,,
1998-03-16,1064.5,,,,
1998-03-17,1062.0,,,,
1998-03-18,1051.6,,,,
1998-03-19,1038.2,,,,
1998-03-20,1035.8,,,,
1998-03-21,1029.9,,,,
1998-03-23,1022.1,,,,
1998-03-24,1002.5,,,,
1998-03-25,1007.0,,,,
1998-03-26,1020.6,,,,
1998-03-27,1008.0,,,,
1998-03-28,1024.3,,,,
1998-03-30,1037.9,,,,
1998-03-31,1034.2,,,,
1998-04-01,1030.8,,,,
1998-04-02,1019.4,,,,
1998-04-03,1001.6,,,,
1998-04-04,981.7,,,,
1998-04-06,978.1,,,,
1998-04-07,986.3,,,,
1998-04-08,983.5,,,,
1998-04-09,987.4,,,,
1998-04-10,985.6,,,,
1998-04-11,982.4,,,,
1998-04-13,980.0,,,,
1998-04-14,981.0,,,,
1998-04-15,970.3,,,,
1998-04-16,968.5,,,,
1998-04-17,963.2,,,,
1998-04-18,949.4,,,,
1998-04-20,945.2,,,,
1998-04-21,951.4,,,,
1998-04-22,952.5,,,,
1998-04-23,935.8,,,,
1998-04-24,934.8,,,,
1998-04-25,920.9,,,,
1998-04-27,916.1,,,,
1998-04-28,909.4,,,,
1998-04-29,898.2,,,,
1998-04-30,907.2,,,,
1998-05-02,909.2,,,,
1998-05-04,910.6,,,,
1998-05-06,900.2,,,,
1998-05-07,910.9,,,,
1998-05-08,889.9,,,,
1998-05-09,883.9,,,,
1998-05-11,889.0,,,,
1998-05-12,880.7,,,,
1998-05-13,874.1,,,,
1998-05-14,864.8,,,,
1998-05-15,860.4,,,,
1998-05-16,858.2,,,,
1998-05-18,857.5,,,,
1998-05-19,867.5,,,,
1998-05-20,868.0,,,,
1998-05-21,863.2,,,,
1998-05-22,855.6,,,,
1998-05-23,849.0,,,,
1998-05-25,848.7,,,,
1998-05-26,828.0,,,,
1998-05-27,790.2,,,,
1998-05-28,805.5,,,,
1998-05-29,803.2,,,,
1998-05-30,790.6,,,,
1998-06-01,800.8,,,,
1998-06-02,796.7,,,,
1998-06-03,802.9,,,,
1998-06-05,803.4,,,,
1998-06-08,814.0,,,,
1998-06-09,809.3,,,,
1998-06-10,807.3,,,,
1998-06-11,790.6,,,,
1998-06-12,782.6,,,,
1998-06-13,763.5,,,,
1998-06-15,763.3,,,,
1998-06-16,757.0,,,,
1998-06-17,755.0,,,,
1998-06-18,775.5,,,,
1998-06-19,782.7,,,,
1998-06-20,773.9,,,,
1998-06-22,775.1,,,,
1998-06-23,760.4,,,,
1998-06-24,754.7,,,,
1998-06-25,756.0,,,,
1998-06-26,758.2,,,,
1998-06-27,753.2,,,,
1998-06-29,754.7,,,,
1998-06-30,753.9,,,,
1998-07-01,763.6,,,,
1998-07-02,767.6,,,,
1998-07-03,757.9,,,,
1998-07-04,753.6,,,,
1998-07-06,750.7,,,,
1998-07-07,749.3,,,,
1998-07-08,744.9,,,,
1998-07-09,735.6,,,,
1998-07-10,736.2,,,,
1998-07-11,731.8,,,,
1998-07-13,728.2,,,,
1998-07-14,725.8,,,,
1998-07-15,721.8,,,,
1998-07-16,729.3,,,,
1998-07-18,738.5,,,,
1998-07-20,736.0,,,,
1998-07-21,744.3,,,,
1998-07-22,734.3,,,,
1998-07-23,725.5,,,,
1998-07-24,718.3,,,,
1998-07-25,717.6,,,,
1998-07-27,717.0,,,,
1998-07-28,711.1,,,,
1998-07-29,711.5,,,,
1998-07-30,709.6,,,,
1998-07-31,703.8,,,,
1998-08-01,702.7,,,,
1998-08-03,702.8,,,,
1998-08-04,705.1,,,,
1998-08-05,702.3,,,,
1998-08-06,700.1,,,,
1998-08-07,695.9,,,,
1998-08-08,697.3,,,,
1998-08-10,689.5,,,,
1998-08-11,692.4,,,,
1998-08-12,689.0,,,,
1998-08-13,687.9,,,,
1998-08-14,683.3,,,,
1998-08-17,680.4,,,,
1998-08-18,673.3,,,,
1998-08-19,669.4,,,,
1998-08-20,666.7,,,,
1998-08-21,664.2,,,,
1998-08-22,661.2,,,,
1998-08-24,658.8,,,,
1998-08-25,657.3,,,,
1998-08-26,656.6,,,,
1998-08-27,651.5,,,,
1998-08-28,643.5,,,,
1998-08-29,636.9,,,,
1998-08-31,639.3,,,,
1998-09-01,635.8,,,,
1998-09-02,628.0,,,,
1998-09-03,622.6,,,,
1998-09-04,618.7,,,,
1998-09-05,618.8,,,,
1998-09-07,622.3,,,,
1998-09-08,634.8,,,,
1998-09-09,624.9,,,,
1998-09-10,621.8,,,,
1998-09-11,618.2,,,,
1998-09-12,617.0,,,,
1998-09-14,614.4,,,,
1998-09-15,616.5,,,,
1998-09-16,616.9,,,,
1998-09-17,615.5,,,,
1998-09-18,613.5,,,,
1998-09-19,615.5,,,,
1998-09-21,621.7,,,,
1998-09-22,619.5,,,,
1998-09-23,619.4,,,,
1998-09-24,617.8,,,,
1998-09-25,614.8,,,,
1998-09-26,615.9,,,,
1998-09-28,619.0,,,,
1998-09-29,611.9,,,,
1998-09-30,613.1,,,,
1998-10-01,614.4,,,,
1998-10-02,613.6,,,,
1998-10-07,612.0,,,,
1998-10-08,613.2,,,,
1998-10-09,626.9,,,,
1998-10-10,643.0,,,,
1998-10-12,647.5,,,,
1998-10-13,641.4,,,,
1998-10-14,636.7,,,,
1998-10-15,636.5,,,,
1998-10-16,637.5,,,,
1998-10-17,632.8,,,,
1998-10-19,629.9,,,,
1998-10-20,619.3,,,,
1998-10-21,622.2,,,,
1998-10-22,617.4,,,,
1998-10-23,620.8,,,,
1998-10-24,624.2,,,,
1998-10-26,623.3,,,,
1998-10-27,645.2,,,,
1998-10-28,645.3,,,,
1998-10-29,642.7,,,,
1998-10-30,636.3,,,,
1998-10-31,640.7,,,,
1998-11-02,644.4,,,,
1998-11-03,632.4,,,,
1998-11-04,628.9,,,,
1998-11-05,643.7,,,,
1998-11-06,647.1,,,,
1998-11-07,651.6,,,,
1998-11-09,645.5,,,,
1998-11-10,639.3,,,,
1998-11-11,634.4,,,,
1998-11-12,638.6,,,,
1998-11-13,626.6,,,,
1998-11-14,626.6,,,,
1998-11-16,626.7,,,,
1998-11-17,625.7,,,,
1998-11-18,625.3,,,,
1998-11-19,632.8,,,,
1998-11-20,632.9,,,,
1998-11-21,633.4,,,,
1998-11-23,636.4,,,,
1998-11-24,642.2,,,,
1998-11-25,645.2,,,,
1998-11-26,651.0,,,,
1998-11-27,650.8,,,,
1998-11-28,645.5,,,,
1998-11-30,645.9,,,,
1998-12-01,644.4,,,,
1998-12-02,644.8,,,,
1998-12-03,645.7,,,,
1998-12-04,640.3,,,,
1998-12-05,646.2,,,,
1998-12-07,667.3,,,,
1998-12-08,686.0,,,,
1998-12-09,687.4,,,,
1998-12-10,714.3,,,,
1998-12-11,730.5,,,,
1998-12-14,747.7,,,,
1998-12-15,757.9,,,,
1998-12-16,758.8,,,,
1998-12-17,715.3,,,,
1998-12-18,708.5,,,,
1998-12-21,726.3,,,,
1998-12-22,742.2,,,,
1998-12-23,730.2,,,,
1998-12-24,736.7,,,,
1998-12-28,751.8,,,,
1999-01-04,766.5,,,,
1999-01-05,766.4,,,,
1999-01-06,751.5,,,,
1999-01-07,751.6,,,,
1999-01-08,748.8,,,,
1999-01-11,762.1,,,,
1999-01-12,774.2,,,,
1999-01-13,775.9,,,,
1999-01-14,764.5,,,,
1999-01-15,762.4,,,,
1999-01-18,779.6,,,,
1999-01-19,780.3,,,,
1999-01-20,772.2,,,,
1999-01-21,757.6,,,,
1999-01-22,743.5,,,,
1999-01-25,743.8,,,,
1999-01-26,746.6,,,,
1999-01-27,747.5,,,,
1999-01-28,753.7,,,,
1999-01-29,761.6,,,,
1999-02-01,797.1,,,,
1999-02-02,812.1,,,,
1999-02-03,801.4,,,,
1999-02-04,790.9,,,,
1999-02-05,787.1,,,,
1999-02-08,792.5,,,,
1999-02-09,781.4,,,,
1999-02-10,770.4,,,,
1999-02-11,771.3,,,,
1999-02-12,769.2,,,,
1999-02-18,769.1,,,,
1999-02-19,754.9,,,,
1999-02-22,739.1,,,,
1999-02-23,727.9,,,,
1999-02-24,715.8,,,,
1999-02-25,711.5,,,,
1999-02-26,728.0,,,,
1999-03-02,735.7,,,,
1999-03-03,735.5,,,,
1999-03-04,732.5,,,,
1999-03-05,731.0,,,,
1999-03-08,746.1,,,,
1999-03-09,755.6,,,,
1999-03-10,772.9,,,,
1999-03-11,784.6,,,,
1999-03-12,794.6,,,,
1999-03-15,812.1,,,,
1999-03-16,813.4,,,,
1999-03-17,806.1,,,,
1999-03-18,792.2,,,,
1999-03-19,781.8,,,,
1999-03-22,792.7,,,,
1999-03-23,788.7,,,,
1999-03-24,791.8,,,,
1999-03-25,797.9,,,,
1999-03-26,787.3,,,,
1999-03-29,786.9,,,,
1999-03-30,798.6,,,,
1999-03-31,811.3,,,,
1999-04-01,811.7,,,,
1999-04-02,835.0,,,,
1999-04-06,852.4,,,,
1999-04-07,886.3,,,,
