D A T E,IKQ001,IKQ150,IKQ002,IKQ003,IKQ004
1997-12-27,966.0,,,,
1998-01-03,971.4,,,,
1998-01-05,975.7,,,,
1998-01-06,963.9,,,,
1998-01-07,959.3,,,,
1998-01-08,961.8,,,,
1998-01-09,947.7,,,,
1998-01-10,950.6,,,,
1998-01-12,966.3,,,,
1998-01-13,968.9,,,,
1998-01-14,965.5,,,,
1998-01-15,969.1,,,,
1998-01-16,978.6,,,,
1998-01-17,969.2,,,,
1998-01-19,985.4,,,,
1998-01-20,998.1,,,,
1998-01-21,990.8,,,,
1998-01-22,980.3,,,,
1998-01-23,980.3,,,,
1998-01-24,985.1,,,,
1998-01-26,993.4,,,,
1998-01-30,1001.7,,,,
1998-01-31,1025.1,,,,
1998-02-02,1005.8,,,,
1998-02-03,1000.0,,,,
1998-02-04,1006.9,,,,
1998-02-05,999.0,,,,
1998-02-06,999.4,,,,
1998-02-07,998.2,,,,
1998-02-09,1003.6,,,,
1998-02-10,999.0,,,,
1998-02-11,982.5,,,,
1998-02-12,963.3,,,,
1998-02-13,963.4,,,,
1998-02-14,975.6,,,,
1998-02-16,969.8,,,,
1998-02-17,960.6,,,,
1998-02-18,965.5,,,,
1998-02-19,966.8,,,,
1998-02-20,978.5,,,,
1998-02-21,982.0,,,,
1998-02-23,986.2,,,,
1998-02-24,978.5,,,,
1998-02-25,980.3,,,,
1998-02-26,990.2,,,,
1998-02-27,996.9,,,,
1998-02-28,1016.5,,,,
1998-03-02,1032.7,,,,
1998-03-03,1052.2,,,,
1998-03-04,1051.3,,,,
1998-03-05,1052.1,,,,
1998-03-06,1048.9,,,,
1998-03-07,1051.3,,,,
1998-03-09,1041.2,,,,
1998-03-10,1030.2,,,,
1998-03-11,1043.2,,,,
1998-03-12,1068.6,,,,
1998-03-13,1049.8,,,,
1998-03-14,1026.6,,,,
1998-03-16,1023.4,,,,
1998-03-17,1033.3,,,,
1998-03-18,1031.9,,,,
1998-03-19,1029.4,,,,
1998-03-20,1023.3,,,,
1998-03-21,1014.4,,,,
1998-03-23,998.6,,,,
1998-03-24,988.2,,,,
1998-03-25,987.1,,,,
1998-03-26,1000.4,,,,
1998-03-27,998.3,,,,
1998-03-28,999.9,,,,
1998-03-30,1020.5,,,,
1998-03-31,1021.0,,,,
1998-04-01,1018.4,,,,
1998-04-02,998.0,,,,
1998-04-03,981.7,,,,
1998-04-04,961.7,,,,
1998-04-06,963.4,,,,
1998-04-07,948.6,,,,
1998-04-08,975.4,,,,
1998-04-09,975.4,,,,
1998-04-10,961.4,,,,
1998-04-11,966.6,,,,
1998-04-13,966.3,,,,
1998-04-14,969.7,,,,
1998-04-15,959.6,,,,
1998-04-16,957.2,,,,
1998-04-17,947.4,,,,
1998-04-18,938.7,,,,
1998-04-20,930.2,,,,
1998-04-21,923.8,,,,
1998-04-22,933.8,,,,
1998-04-23,916.5,,,,
1998-04-24,910.1,,,,
1998-04-25,912.6,,,,
1998-04-27,904.7,,,,
1998-04-28,885.3,,,,
1998-04-29,882.6,,,,
1998-04-30,890.3,,,,
1998-05-02,898.2,,,,
1998-05-04,897.9,,,,
1998-05-06,890.4,,,,
1998-05-07,883.6,,,,
1998-05-08,878.4,,,,
1998-05-09,879.6,,,,
1998-05-11,880.7,,,,
1998-05-12,872.9,,,,
1998-05-13,864.8,,,,
1998-05-14,852.6,,,,
1998-05-15,850.0,,,,
1998-05-16,853.7,,,,
1998-05-18,852.7,,,,
1998-05-19,856.0,,,,
1998-05-20,849.1,,,,
1998-05-21,850.2,,,,
1998-05-22,834.0,,,,
1998-05-23,818.6,,,,
1998-05-25,829.4,,,,
1998-05-26,795.0,,,,
1998-05-27,772.4,,,,
1998-05-28,780.6,,,,
1998-05-29,786.6,,,,
1998-05-30,779.7,,,,
1998-06-01,785.9,,,,
1998-06-02,785.8,,,,
1998-06-03,785.9,,,,
1998-06-05,794.4,,,,
1998-06-08,799.0,,,,
1998-06-09,797.8,,,,
1998-06-10,783.7,,,,
1998-06-11,777.8,,,,
1998-06-12,766.4,,,,
1998-06-13,757.4,,,,
1998-06-15,746.1,,,,
1998-06-16,734.8,,,,
1998-06-17,734.1,,,,
1998-06-18,766.2,,,,
1998-06-19,755.2,,,,
1998-06-20,754.5,,,,
1998-06-22,761.0,,,,
1998-06-23,748.4,,,,
1998-06-24,743.9,,,,
1998-06-25,746.6,,,,
1998-06-26,747.8,,,,
1998-06-27,746.0,,,,
1998-06-29,750.5,,,,
1998-06-30,746.7,,,,
1998-07-01,745.8,,,,
1998-07-02,757.5,,,,
1998-07-03,747.3,,,,
1998-07-04,743.6,,,,
1998-07-06,742.6,,,,
1998-07-07,742.5,,,,
1998-07-08,732.3,,,,
1998-07-09,729.0,,,,
1998-07-10,727.1,,,,
1998-07-11,724.4,,,,
1998-07-13,720.4,,,,
1998-07-14,720.0,,,,
1998-07-15,715.6,,,,
1998-07-16,718.3,,,,
