D A T E,IKQ001,IKQ150,IKQ002,IKQ003,IKQ004
1997-12-27,967.3,,,,
1998-01-03,972.5,,,,
1998-01-05,983.9,,,,
1998-01-06,975.7,,,,
1998-01-07,964.0,,,,
1998-01-08,963.5,,,,
1998-01-09,962.2,,,,
1998-01-10,953.5,,,,
1998-01-12,966.3,,,,
1998-01-13,973.3,,,,
1998-01-14,975.2,,,,
1998-01-15,971.5,,,,
1998-01-16,988.2,,,,
1998-01-17,978.6,,,,
1998-01-19,985.4,,,,
1998-01-20,1002.4,,,,
1998-01-21,1000.5,,,,
1998-01-22,995.1,,,,
1998-01-23,980.5,,,,
1998-01-24,985.1,,,,
1998-01-26,994.6,,,,
1998-01-30,1001.7,,,,
1998-01-31,1025.1,,,,
1998-02-02,1031.2,,,,
1998-02-03,1007.9,,,,
1998-02-04,1012.9,,,,
1998-02-05,1014.0,,,,
1998-02-06,1005.4,,,,
1998-02-07,1003.9,,,,
1998-02-09,1005.7,,,,
1998-02-10,1010.7,,,,
1998-02-11,999.0,,,,
1998-02-12,982.5,,,,
1998-02-13,963.4,,,,
1998-02-14,977.2,,,,
1998-02-16,980.9,,,,
1998-02-17,975.9,,,,
1998-02-18,967.6,,,,
1998-02-19,968.8,,,,
1998-02-20,980.3,,,,
1998-02-21,989.3,,,,
1998-02-23,986.8,,,,
1998-02-24,987.1,,,,
1998-02-25,983.1,,,,
1998-02-26,994.0,,,,
1998-02-27,996.9,,,,
1998-02-28,1016.5,,,,
1998-03-02,1032.7,,,,
1998-03-03,1052.2,,,,
1998-03-04,1101.1,,,,
1998-03-05,1069.9,,,,
1998-03-06,1057.6,,,,
1998-03-07,1057.0,,,,
1998-03-09,1053.8,,,,
1998-03-10,1041.1,,,,
1998-03-11,1044.0,,,,
1998-03-12,1068.6,,,,
1998-03-13,1076.1,,,,
1998-03-14,1050.1,,,,
1998-03-16,1037.4,,,,
1998-03-17,1060.8,,,,
1998-03-18,1043.3,,,,
1998-03-19,1036.0,,,,
1998-03-20,1032.6,,,,
1998-03-21,1027.9,,,,
1998-03-23,1019.8,,,,
1998-03-24,1002.5,,,,
1998-03-25,996.0,,,,
1998-03-26,1003.9,,,,
1998-03-27,1005.1,,,,
1998-03-28,999.9,,,,
1998-03-30,1022.3,,,,
1998-03-31,1026.3,,,,
1998-04-01,1030.6,,,,
1998-04-02,1018.4,,,,
1998-04-03,1001.6,,,,
1998-04-04,981.7,,,,
1998-04-06,963.4,,,,
1998-04-07,956.0,,,,
1998-04-08,977.1,,,,
1998-04-09,975.4,,,,
1998-04-10,982.3,,,,
1998-04-11,967.6,,,,
1998-04-13,977.9,,,,
1998-04-14,979.4,,,,
1998-04-15,970.0,,,,
1998-04-16,966.5,,,,
1998-04-17,962.2,,,,
1998-04-18,947.4,,,,
1998-04-20,945.2,,,,
1998-04-21,930.7,,,,
1998-04-22,949.0,,,,
1998-04-23,934.9,,,,
1998-04-24,916.5,,,,
1998-04-25,917.5,,,,
1998-04-27,914.8,,,,
1998-04-28,909.4,,,,
1998-04-29,885.3,,,,
1998-04-30,890.3,,,,
1998-05-02,906.0,,,,
1998-05-04,909.2,,,,
1998-05-06,900.2,,,,
1998-05-07,890.4,,,,
1998-05-08,889.9,,,,
1998-05-09,881.5,,,,
1998-05-11,883.7,,,,
1998-05-12,880.7,,,,
1998-05-13,873.8,,,,
1998-05-14,864.8,,,,
1998-05-15,853.8,,,,
1998-05-16,857.8,,,,
1998-05-18,856.3,,,,
1998-05-19,856.9,,,,
1998-05-20,866.3,,,,
1998-05-21,850.2,,,,
1998-05-22,854.5,,,,
1998-05-23,834.0,,,,
1998-05-25,848.5,,,,
1998-05-26,827.7,,,,
1998-05-27,789.5,,,,
1998-05-28,785.6,,,,
1998-05-29,796.5,,,,
1998-05-30,790.3,,,,
1998-06-01,785.9,,,,
1998-06-02,796.4,,,,
1998-06-03,794.8,,,,
1998-06-05,800.4,,,,
1998-06-08,801.2,,,,
1998-06-09,809.0,,,,
1998-06-10,804.6,,,,
1998-06-11,785.7,,,,
1998-06-12,781.0,,,,
1998-06-13,763.1,,,,
1998-06-15,758.2,,,,
1998-06-16,749.4,,,,
1998-06-17,734.5,,,,
