D A T E,IKS001,IKS200,IKS002,IKS003,IKS004
1997-12-27,376.31,42.34,,,
1998-01-03,385.49,43.59,,,
1998-01-05,396.49,44.77,,,
1998-01-06,406.34,45.77,,,
1998-01-07,409.42,45.75,,,
1998-01-08,423.96,47.49,,,
1998-01-09,414.0,46.34,,,
1998-01-10,440.78,49.44,,,
1998-01-12,456.2,51.21,,,
1998-01-13,463.74,51.69,,,
1998-01-14,475.13,53.0,,,
1998-01-15,505.98,56.63,,,
1998-01-16,488.1,54.93,,,
1998-01-17,495.91,56.16,,,
1998-01-19,528.77,60.2,,,
1998-01-20,533.55,61.1,,,
1998-01-21,506.66,57.68,,,
1998-01-22,483.99,54.93,,,
1998-01-23,486.86,55.61,,,
1998-01-24,509.53,58.47,,,
1998-01-26,518.64,59.82,,,
1998-01-30,558.33,64.48,,,
1998-01-31,567.38,65.45,,,
1998-02-02,543.68,62.35,,,
1998-02-03,550.21,62.69,,,
1998-02-04,547.28,62.01,,,
1998-02-05,528.05,59.72,,,
1998-02-06,540.45,61.19,,,
1998-02-07,542.7,61.5,,,
1998-02-09,554.24,62.84,,,
1998-02-10,541.77,61.23,,,
1998-02-11,520.14,59.09,,,
1998-02-12,512.49,58.38,,,
1998-02-13,506.2,57.66,,,
1998-02-14,484.12,55.08,,,
1998-02-16,476.98,54.68,,,
1998-02-17,471.73,54.31,,,
1998-02-18,487.73,56.2,,,
1998-02-19,513.45,59.09,,,
1998-02-20,522.13,60.49,,,
1998-02-21,528.95,61.59,,,
1998-02-23,543.06,63.12,,,
1998-02-24,540.89,62.79,,,
1998-02-25,516.38,59.85,,,
1998-02-26,524.98,60.96,,,
1998-02-27,548.42,64.16,,,
1998-02-28,558.98,65.79,,,
1998-03-02,574.35,67.96,,,
1998-03-03,570.89,67.48,,,
1998-03-04,572.76,67.5,,,
1998-03-05,535.68,62.58,,,
1998-03-06,522.55,61.06,,,
1998-03-07,525.98,61.57,,,
1998-03-09,507.71,59.11,,,
1998-03-10,525.56,61.53,,,
1998-03-11,531.05,62.25,,,
1998-03-12,535.84,62.57,,,
1998-03-13,536.16,62.62,,,
1998-03-14,533.56,61.96,,,
