D A T E,IKS001,IKS200,IKS002,IKS003,IKS004
1997-12-27,377.65,,,,
1998-01-03,385.49,,,,
1998-01-05,403.93,,,,
1998-01-06,406.39,,,,
1998-01-07,424.01,,,,
1998-01-08,424.81,,,,
1998-01-09,420.92,,,,
1998-01-10,440.78,,,,
1998-01-12,461.56,,,,
1998-01-13,466.59,,,,
1998-01-14,482.84,,,,
1998-01-15,506.52,,,,
1998-01-16,532.43,,,,
1998-01-17,498.23,,,,
1998-01-19,528.8,,,,
1998-01-20,543.46,,,,
1998-01-21,529.82,,,,
1998-01-22,510.87,,,,
1998-01-23,492.67,,,,
1998-01-24,510.08,,,,
1998-01-26,522.5,,,,
1998-01-30,558.34,,,,
1998-01-31,587.99,,,,
1998-02-02,556.58,,,,
1998-02-03,564.13,,,,
1998-02-04,560.86,,,,
1998-02-05,549.17,,,,
1998-02-06,553.11,,,,
1998-02-07,545.48,,,,
1998-02-09,557.96,,,,
1998-02-10,558.65,,,,
1998-02-11,539.22,,,,
1998-02-12,516.5,,,,
1998-02-13,529.14,,,,
1998-02-14,504.99,,,,
1998-02-16,486.99,,,,
1998-02-17,475.88,,,,
1998-02-18,492.71,,,,
1998-02-19,516.69,,,,
1998-02-20,536.63,,,,
1998-02-21,529.88,,,,
1998-02-23,553.53,,,,
1998-02-24,546.33,,,,
1998-02-25,547.79,,,,
1998-02-26,531.41,,,,
1998-02-27,551.19,,,,
1998-02-28,566.24,,,,
1998-03-02,581.12,,,,
1998-03-03,591.7,,,,
1998-03-04,572.76,,,,
1998-03-05,570.13,,,,
1998-03-06,535.63,,,,
1998-03-07,531.13,,,,
1998-03-09,531.53,,,,
1998-03-10,525.56,,,,
1998-03-11,540.94,,,,
1998-03-12,544.59,,,,
1998-03-13,540.09,,,,
1998-03-14,540.37,,,,
1998-03-16,539.54,,,,
1998-03-17,528.54,,,,
1998-03-18,526.77,,,,
1998-03-19,525.12,,,,
1998-03-20,530.4,,,,
1998-03-21,525.03,,,,
1998-03-23,522.84,,,,
1998-03-24,513.37,,,,
1998-03-25,512.85,,,,
1998-03-26,508.89,,,,
1998-03-27,503.08,,,,
1998-03-28,505.5,,,,
1998-03-30,493.05,,,,
1998-03-31,490.31,,,,
1998-04-01,482.88,,,,
1998-04-02,466.34,,,,
1998-04-03,450.74,,,,
1998-04-04,447.22,,,,
1998-04-06,441.88,,,,
1998-04-07,459.58,,,,
1998-04-08,465.82,,,,
1998-04-09,475.03,,,,
1998-04-10,470.05,,,,
1998-04-11,490.84,,,,
1998-04-13,498.71,,,,
1998-04-14,491.19,,,,
1998-04-15,470.61,,,,
1998-04-16,465.9,,,,
1998-04-17,454.38,,,,
1998-04-18,457.99,,,,
1998-04-20,444.22,,,,
1998-04-21,441.17,,,,
1998-04-22,444.01,,,,
1998-04-23,428.76,,,,
1998-04-24,429.48,,,,
1998-04-25,416.48,,,,
1998-04-27,413.85,,,,
1998-04-28,407.51,,,,
1998-04-29,418.47,,,,
1998-04-30,423.47,,,,
1998-05-02,418.64,,,,
1998-05-04,401.53,,,,
1998-05-06,388.8,,,,
1998-05-07,380.45,,,,
1998-05-08,379.63,,,,
1998-05-09,376.85,,,,
1998-05-11,372.29,,,,
1998-05-12,356.8,,,,
1998-05-13,360.14,,,,
1998-05-14,372.83,,,,
1998-05-15,367.45,,,,
1998-05-16,355.56,,,,
1998-05-18,361.85,,,,
1998-05-19,362.53,,,,
1998-05-20,374.97,,,,
1998-05-21,375.46,,,,
1998-05-22,361.09,,,,
1998-05-23,359.11,,,,
1998-05-25,353.4,,,,
1998-05-26,324.96,,,,
1998-05-27,313.84,,,,
1998-05-28,331.93,,,,
1998-05-29,337.89,,,,
1998-05-30,339.59,,,,
1998-06-01,342.11,,,,
1998-06-02,335.48,,,,
1998-06-03,332.61,,,,
1998-06-05,341.53,,,,
1998-06-08,353.29,,,,
1998-06-09,344.2,,,,
1998-06-10,344.37,,,,
1998-06-11,328.7,,,,
1998-06-12,318.31,,,,
1998-06-13,306.66,,,,
1998-06-15,303.61,,,,
1998-06-16,291.01,,,,
1998-06-17,303.81,,,,
1998-06-18,330.14,,,,
1998-06-19,324.26,,,,
1998-06-20,317.44,,,,
1998-06-22,319.55,,,,
1998-06-23,308.39,,,,
1998-06-24,304.09,,,,
1998-06-25,301.42,,,,
1998-06-26,305.13,,,,
1998-06-27,302.37,,,,
1998-06-29,305.45,,,,
1998-06-30,299.29,,,,
1998-07-01,318.74,,,,
1998-07-02,321.4,,,,
1998-07-03,316.09,,,,
1998-07-04,311.82,,,,
1998-07-06,310.57,,,,
1998-07-07,319.97,,,,
1998-07-08,323.4,,,,
1998-07-09,323.66,,,,
1998-07-10,320.76,,,,
1998-07-11,307.34,,,,
1998-07-13,304.91,,,,
1998-07-14,306.79,,,,
1998-07-15,316.1,,,,
1998-07-16,330.35,,,,
1998-07-18,353.22,,,,
1998-07-20,365.18,,,,
1998-07-21,374.08,,,,
1998-07-22,366.04,,,,
1998-07-23,366.57,,,,
1998-07-24,347.96,,,,
1998-07-25,340.78,,,,
1998-07-27,332.72,,,,
1998-07-28,335.33,,,,
1998-07-29,354.34,,,,
1998-07-30,346.92,,,,
1998-07-31,349.05,,,,
1998-08-01,341.85,,,,
1998-08-03,338.71,,,,
1998-08-04,335.1,,,,
1998-08-05,335.36,,,,
1998-08-06,324.37,,,,
