D A T E,IKS001,IKS200,IKS002,IKS003,IKS004
1997-12-27,367.48,,,,
1998-01-03,372.37,,,,
1998-01-05,389.08,,,,
1998-01-06,395.89,,,,
1998-01-07,407.22,,,,
1998-01-08,403.08,,,,
1998-01-09,408.31,,,,
1998-01-10,417.93,,,,
1998-01-12,444.07,,,,
1998-01-13,450.01,,,,
1998-01-14,463.81,,,,
1998-01-15,479.55,,,,
1998-01-16,485.83,,,,
1998-01-17,478.05,,,,
1998-01-19,502.31,,,,
1998-01-20,520.49,,,,
1998-01-21,504.07,,,,
1998-01-22,483.99,,,,
1998-01-23,474.77,,,,
1998-01-24,488.37,,,,
1998-01-26,512.13,,,,
1998-01-30,528.48,,,,
1998-01-31,562.53,,,,
1998-02-02,534.39,,,,
1998-02-03,539.68,,,,
1998-02-04,545.79,,,,
1998-02-05,524.38,,,,
1998-02-06,534.76,,,,
1998-02-07,534.21,,,,
1998-02-09,542.92,,,,
1998-02-10,538.37,,,,
1998-02-11,511.81,,,,
1998-02-12,497.27,,,,
1998-02-13,506.2,,,,
1998-02-14,482.87,,,,
1998-02-16,469.86,,,,
1998-02-17,462.26,,,,
1998-02-18,472.62,,,,
1998-02-19,488.56,,,,
1998-02-20,518.71,,,,
1998-02-21,512.88,,,,
1998-02-23,537.55,,,,
1998-02-24,534.07,,,,
1998-02-25,516.1,,,,
1998-02-26,507.59,,,,
1998-02-27,527.4,,,,
1998-02-28,553.64,,,,
1998-03-02,562.64,,,,
1998-03-03,567.55,,,,
1998-03-04,553.25,,,,
1998-03-05,535.68,,,,
1998-03-06,517.06,,,,
1998-03-07,521.47,,,,
1998-03-09,507.71,,,,
1998-03-10,501.84,,,,
1998-03-11,518.31,,,,
1998-03-12,534.54,,,,
1998-03-13,521.8,,,,
1998-03-14,531.4,,,,
1998-03-16,528.87,,,,
1998-03-17,513.44,,,,
1998-03-18,510.87,,,,
1998-03-19,518.0,,,,
1998-03-20,522.38,,,,
1998-03-21,519.35,,,,
1998-03-23,511.89,,,,
1998-03-24,506.1,,,,
1998-03-25,503.74,,,,
1998-03-26,498.43,,,,
1998-03-27,493.95,,,,
1998-03-28,496.26,,,,
1998-03-30,479.52,,,,
1998-03-31,481.04,,,,
1998-04-01,468.22,,,,
1998-04-02,450.25,,,,
1998-04-03,421.92,,,,
1998-04-04,425.37,,,,
1998-04-06,431.87,,,,
1998-04-07,437.71,,,,
1998-04-08,455.11,,,,
1998-04-09,465.49,,,,
1998-04-10,463.73,,,,
1998-04-11,470.86,,,,
1998-04-13,486.13,,,,
1998-04-14,467.07,,,,
1998-04-15,462.02,,,,
1998-04-16,447.35,,,,
1998-04-17,446.46,,,,
1998-04-18,441.68,,,,
1998-04-20,434.44,,,,
1998-04-21,429.33,,,,
1998-04-22,431.81,,,,
1998-04-23,414.29,,,,
1998-04-24,412.34,,,,
1998-04-25,409.52,,,,
1998-04-27,406.06,,,,
1998-04-28,399.48,,,,
1998-04-29,401.19,,,,
1998-04-30,414.61,,,,
1998-05-02,406.53,,,,
1998-05-04,389.82,,,,
1998-05-06,374.53,,,,
1998-05-07,369.95,,,,
1998-05-08,368.57,,,,
1998-05-09,372.21,,,,
1998-05-11,361.58,,,,
1998-05-12,348.61,,,,
1998-05-13,344.57,,,,
1998-05-14,349.07,,,,
1998-05-15,350.95,,,,
1998-05-16,342.0,,,,
1998-05-18,353.38,,,,
1998-05-19,355.02,,,,
1998-05-20,364.06,,,,
1998-05-21,362.3,,,,
1998-05-22,352.23,,,,
1998-05-23,354.84,,,,
1998-05-25,331.75,,,,
1998-05-26,308.46,,,,
1998-05-27,301.22,,,,
1998-05-28,309.57,,,,
1998-05-29,323.77,,,,
1998-05-30,330.75,,,,
1998-06-01,333.01,,,,
1998-06-02,323.67,,,,
1998-06-03,324.82,,,,
1998-06-05,333.37,,,,
1998-06-08,345.38,,,,
1998-06-09,334.19,,,,
1998-06-10,324.54,,,,
1998-06-11,317.54,,,,
1998-06-12,301.1,,,,
1998-06-13,297.24,,,,
1998-06-15,288.21,,,,
1998-06-16,277.37,,,,
1998-06-17,287.98,,,,
1998-06-18,310.12,,,,
1998-06-19,308.99,,,,
1998-06-20,309.59,,,,
1998-06-22,311.27,,,,
1998-06-23,299.28,,,,
1998-06-24,296.27,,,,
1998-06-25,294.93,,,,
1998-06-26,297.94,,,,
1998-06-27,298.66,,,,
1998-06-29,296.28,,,,
1998-06-30,293.45,,,,
1998-07-01,298.01,,,,
1998-07-02,309.84,,,,
1998-07-03,306.37,,,,
1998-07-04,307.07,,,,
1998-07-06,305.06,,,,
1998-07-07,310.48,,,,
1998-07-08,318.01,,,,
1998-07-09,316.62,,,,
1998-07-10,306.41,,,,
1998-07-11,302.98,,,,
1998-07-13,299.68,,,,
1998-07-14,301.91,,,,
1998-07-15,307.99,,,,
1998-07-16,314.68,,,,
1998-07-18,333.13,,,,
1998-07-20,345.8,,,,
1998-07-21,364.24,,,,
1998-07-22,357.63,,,,
1998-07-23,341.46,,,,
1998-07-24,334.26,,,,
1998-07-25,327.89,,,,
1998-07-27,323.9,,,,
1998-07-28,329.98,,,,
1998-07-29,337.13,,,,
1998-07-30,339.35,,,,
1998-07-31,340.03,,,,
1998-08-01,336.55,,,,
1998-08-03,329.44,,,,
1998-08-04,326.34,,,,
1998-08-05,317.22,,,,
1998-08-06,318.1,,,,
1998-08-07,319.52,,,,
1998-08-08,314.31,,,,
1998-08-10,308.37,,,,
1998-08-11,311.25,,,,
1998-08-12,301.74,,,,
