D A T E,IKS001,IKS200,IKS002,IKS003,IKS004
1997-12-27,375.32,,,,
1998-01-03,374.41,,,,
1998-01-05,389.08,,,,
1998-01-06,396.84,,,,
1998-01-07,407.69,,,,
1998-01-08,409.88,,,,
1998-01-09,420.77,,,,
1998-01-10,417.93,,,,
1998-01-12,444.07,,,,
1998-01-13,456.0,,,,
1998-01-14,466.0,,,,
1998-01-15,479.55,,,,
1998-01-16,512.27,,,,
1998-01-17,491.12,,,,
1998-01-19,502.31,,,,
1998-01-20,529.25,,,,
1998-01-21,529.82,,,,
1998-01-22,503.99,,,,
1998-01-23,483.47,,,,
1998-01-24,488.37,,,,
1998-01-26,512.61,,,,
1998-01-30,528.48,,,,
1998-01-31,566.84,,,,
1998-02-02,556.58,,,,
1998-02-03,547.7,,,,
1998-02-04,552.97,,,,
1998-02-05,546.74,,,,
1998-02-06,539.31,,,,
1998-02-07,538.28,,,,
1998-02-09,543.08,,,,
1998-02-10,554.83,,,,
1998-02-11,539.22,,,,
1998-02-12,516.5,,,,
1998-02-13,519.47,,,,
1998-02-14,504.99,,,,
1998-02-16,482.93,,,,
1998-02-17,475.88,,,,
1998-02-18,475.16,,,,
1998-02-19,488.56,,,,
1998-02-20,518.71,,,,
1998-02-21,520.29,,,,
1998-02-23,537.55,,,,
1998-02-24,541.58,,,,
1998-02-25,539.38,,,,
1998-02-26,516.72,,,,
1998-02-27,527.4,,,,
1998-02-28,553.64,,,,
1998-03-02,562.66,,,,
1998-03-03,577.24,,,,
1998-03-04,570.33,,,,
1998-03-05,570.13,,,,
1998-03-06,530.76,,,,
1998-03-07,525.6,,,,
1998-03-09,526.4,,,,
1998-03-10,507.82,,,,
1998-03-11,522.06,,,,
1998-03-12,534.95,,,,
1998-03-13,537.84,,,,
1998-03-14,535.41,,,,
1998-03-16,535.6,,,,
1998-03-17,528.54,,,,
1998-03-18,516.0,,,,
1998-03-19,518.0,,,,
1998-03-20,522.38,,,,
1998-03-21,525.03,,,,
1998-03-23,521.91,,,,
1998-03-24,512.8,,,,
1998-03-25,509.25,,,,
1998-03-26,508.89,,,,
1998-03-27,501.2,,,,
1998-03-28,502.47,,,,
1998-03-30,493.05,,,,
1998-03-31,482.91,,,,
1998-04-01,482.88,,,,
1998-04-02,464.87,,,,
1998-04-03,449.64,,,,
1998-04-04,431.44,,,,
1998-04-06,441.08,,,,
1998-04-07,437.71,,,,
1998-04-08,458.96,,,,
1998-04-09,467.99,,,,
1998-04-10,467.23,,,,
1998-04-11,470.86,,,,
1998-04-13,488.84,,,,
1998-04-14,491.19,,,,
1998-04-15,466.94,,,,
1998-04-16,465.9,,,,
1998-04-17,450.53,,,,
1998-04-18,452.36,,,,
1998-04-20,441.22,,,,
1998-04-21,434.08,,,,
1998-04-22,437.97,,,,
1998-04-23,428.76,,,,
1998-04-24,416.21,,,,
1998-04-25,414.23,,,,
1998-04-27,411.59,,,,
1998-04-28,406.16,,,,
1998-04-29,403.34,,,,
1998-04-30,418.31,,,,
1998-05-02,418.64,,,,
1998-05-04,401.53,,,,
1998-05-06,388.8,,,,
1998-05-07,376.11,,,,
1998-05-08,376.46,,,,
1998-05-09,373.64,,,,
1998-05-11,372.29,,,,
1998-05-12,356.55,,,,
1998-05-13,349.38,,,,
1998-05-14,354.69,,,,
1998-05-15,361.69,,,,
1998-05-16,347.36,,,,
1998-05-18,353.38,,,,
1998-05-19,360.16,,,,
1998-05-20,364.06,,,,
1998-05-21,370.55,,,,
1998-05-22,361.09,,,,
1998-05-23,354.84,,,,
1998-05-25,353.4,,,,
1998-05-26,324.96,,,,
1998-05-27,313.84,,,,
1998-05-28,313.81,,,,
1998-05-29,323.77,,,,
1998-05-30,338.2,,,,
1998-06-01,334.1,,,,
1998-06-02,335.48,,,,
1998-06-03,324.82,,,,
1998-06-05,334.01,,,,
1998-06-08,345.38,,,,
1998-06-09,344.2,,,,
1998-06-10,341.79,,,,
1998-06-11,323.14,,,,
1998-06-12,318.31,,,,
1998-06-13,299.71,,,,
1998-06-15,300.69,,,,
1998-06-16,283.41,,,,
1998-06-17,287.98,,,,
