일자,MKF대형,MKF소형,MKF순수가치,MKF순수성장
2016-02-12,"3,536.34","2,387.25","13,809.81","2,038.61"
2016-02-15,"3,584.49","2,432.84","14,235.06","2,068.33"
2016-02-16,"3,637.01","2,476.22","14,388.39","2,091.60"
2016-02-17,"3,643.32","2,422.58","14,551.00","2,056.72"
2016-02-18,"3,686.40","2,473.26","14,745.84","2,096.08"
2016-02-19,"3,693.26","2,502.02","14,738.55","2,114.19"
2016-02-22,"3,685.53","2,522.72","14,715.00","2,124.68"
2016-02-23,"3,686.70","2,496.72","14,817.86","2,105.38"
2016-02-24,"3,683.57","2,497.96","14,832.96","2,098.09"
2016-02-25,"3,688.88","2,513.61","14,792.34","2,104.13"
2016-02-26,"3,684.97","2,529.36","14,820.20","2,114.34"
2016-02-29,"3,675.35","2,544.33","14,781.07","2,120.02"
2016-03-02,"3,746.53","2,565.41","15,054.06","2,134.66"
2016-03-03,"3,771.31","2,583.16","15,096.05","2,145.71"
2016-03-04,"3,765.19","2,581.89","15,217.00","2,153.40"
2016-03-07,"3,769.88","2,577.64","15,316.14","2,142.45"
2016-03-08,"3,740.33","2,578.41","15,348.20","2,145.53"
2016-03-09,"3,750.53","2,597.81","15,285.79","2,160.17"
2016-03-10,"3,788.18","2,624.24","15,409.29","2,181.89"
2016-03-11,"3,796.32","2,614.94","15,463.83","2,171.42"
2016-03-14,"3,805.59","2,596.15","15,407.41","2,155.00"
2016-03-15,"3,797.34","2,589.76","15,380.67","2,153.60"
2016-03-16,"3,804.10","2,598.04","15,276.21","2,160.69"
2016-03-17,"3,831.17","2,605.82","15,487.52","2,172.80"
2016-03-18,"3,841.70","2,614.00","15,570.20","2,176.80"
2016-03-21,"3,839.16","2,597.87","15,559.22","2,165.16"
2016-03-22,"3,856.55","2,602.40","15,639.01","2,172.22"
2016-03-23,"3,850.68","2,600.61","15,674.32","2,170.03"
2016-03-24,"3,832.58","2,589.41","15,508.00","2,157.43"
2016-03-25,"3,823.49","2,598.88","15,401.05","2,155.06"
2016-03-28,"3,824.31","2,581.25","15,414.40","2,151.35"
2016-03-29,"3,851.48","2,600.25","15,666.77","2,158.59"
2016-03-30,"3,866.16","2,605.98","15,731.60","2,165.88"
2016-03-31,"3,853.19","2,603.20","15,696.23","2,152.17"
2016-04-01,"3,802.40","2,607.73","15,467.90","2,135.42"
2016-04-04,"3,815.27","2,630.80","15,373.22","2,146.38"
2016-04-05,"3,773.78","2,632.50","15,385.23","2,138.97"
2016-04-06,"3,790.84","2,638.47","15,488.42","2,144.22"
2016-04-07,"3,797.26","2,652.21","15,626.37","2,155.90"
2016-04-08,"3,788.62","2,657.05","15,657.06","2,159.00"
2016-04-11,"3,790.58","2,636.41","15,753.49","2,151.80"
2016-04-12,"3,816.06","2,635.22","15,934.53","2,146.98"
2016-04-14,"3,895.50","2,635.92","16,407.92","2,166.64"
2016-04-15,"3,889.26","2,640.11","16,233.05","2,165.15"
2016-04-18,"3,880.20","2,639.31","16,208.36","2,170.42"
2016-04-19,"3,877.63","2,651.54","16,238.16","2,183.80"
2016-04-20,"3,866.83","2,648.46","16,219.98","2,170.40"
2016-04-21,"3,899.21","2,659.80","16,486.06","2,190.48"
2016-04-22,"3,881.81","2,665.38","16,408.95","2,192.18"
2016-04-25,"3,880.02","2,666.44","16,317.56","2,193.46"
2016-04-26,"3,893.12","2,665.91","16,268.45","2,193.60"
2016-04-27,"3,889.56","2,648.43","16,207.07","2,181.34"
2016-04-28,"3,847.46","2,645.16","16,157.69","2,175.58"
2016-04-29,"3,828.11","2,646.02","16,168.13","2,176.09"
2016-05-02,"3,805.06","2,600.15","15,928.76","2,149.27"
2016-05-03,"3,819.26","2,625.68","15,998.51","2,161.55"
2016-05-04,"3,809.18","2,604.06","15,627.77","2,157.61"
2016-05-09,"3,793.71","2,595.49","15,337.12","2,148.24"
2016-05-10,"3,817.01","2,633.58","15,480.94","2,167.04"
2016-05-11,"3,806.38","2,644.87","15,501.53","2,156.12"
2016-05-12,"3,792.78","2,650.43","15,495.65","2,161.78"
2016-05-13,"3,762.53","2,650.86","15,320.20","2,169.71"
2016-05-16,"3,764.47","2,651.79","15,356.80","2,170.52"
2016-05-17,"3,768.09","2,648.83","15,308.61","2,164.31"
2016-05-18,"3,746.04","2,619.33","15,274.36","2,146.72"
2016-05-19,"3,737.17","2,597.47","15,235.72","2,125.78"
2016-05-20,"3,728.66","2,635.60","15,157.14","2,137.14"
2016-05-23,"3,747.73","2,652.79","15,178.26","2,139.32"
2016-05-24,"3,712.72","2,647.03","15,048.20","2,126.51"
2016-05-25,"3,769.78","2,634.18","15,278.17","2,149.73"
2016-05-26,"3,764.58","2,632.14","15,271.19","2,140.70"
2016-05-27,"3,784.72","2,642.96","15,425.36","2,150.04"
2016-05-30,"3,784.92","2,631.24","15,388.28","2,144.06"
2016-05-31,"3,816.33","2,659.08","15,514.20","2,162.64"
2016-06-01,"3,813.66","2,662.67","15,374.89","2,152.75"
2016-06-02,"3,821.89","2,673.39","15,227.47","2,145.13"
2016-06-03,"3,819.95","2,677.18","15,194.80","2,150.48"
2016-06-07,"3,871.50","2,702.80","15,450.42","2,171.00"
2016-06-08,"3,902.24","2,719.65","15,584.67","2,174.66"
2016-06-09,"3,904.61","2,716.44","15,563.71","2,167.24"
2016-06-10,"3,882.76","2,724.92","15,605.85","2,166.56"
