Frequency,MKF500,순수가치,순수성장,대형주,소형주,Low Vol,FnGuide 모멘텀 탑픽지수
2008-01-01,3792.19,13559.22,3776.68,3802.94,2340.03,7535.27,
2008-01-02,3710.29,13211.59,3684.33,3716.74,2332.79,7350.46,
2008-01-03,3710.37,13226.15,3694.74,3712.57,2339.53,7347.82,
2008-01-04,3730.23,13294.55,3732.97,3730.46,2365.51,7376.93,
2008-01-05,3730.23,13294.55,3732.97,3730.46,2365.51,7376.93,
2008-01-06,3730.23,13294.55,3732.97,3730.46,2365.51,7376.93,
2008-01-07,3660.49,13081.32,3675.33,3656.63,2341.48,7291.21,
2008-01-08,3647.6,13062.28,3693.91,3644.64,2328.04,7311.73,
2008-01-09,3681.42,13050.82,3755.82,3679.01,2336.3,7370.38,
2008-01-10,3639.11,12895.71,3723.11,3632.89,2336.67,7238.82,
2008-01-11,3553.75,12613.81,3592.53,3549.25,2283.21,7141.41,
2008-01-12,3553.75,12613.81,3592.53,3549.25,2283.21,7141.41,
2008-01-13,3553.75,12613.81,3592.53,3549.25,2283.21,7141.41,
2008-01-14,3523.13,12534.76,3530.63,3524.96,2243.56,7125.31,
2008-01-15,3483.63,12344.31,3455.04,3489.42,2198.65,7080.14,
2008-01-16,3397.4,12063.61,3329.53,3406.46,2124.38,6936.91,
2008-01-17,3438.83,12300.73,3326.91,3450.37,2142.31,7001.41,
2008-01-18,3465.82,12462.09,3349.06,3471.56,2173.26,7054.7,
2008-01-19,3465.82,12462.09,3349.06,3471.56,2173.26,7054.7,
2008-01-20,3465.82,12462.09,3349.06,3471.56,2173.26,7054.7,
2008-01-21,3364.41,12177.29,3183.11,3371.91,2109.03,6957.8,
2008-01-22,3213.78,11763.61,3004.14,3225.8,1977.03,6755.96,
2008-01-23,3253.71,11861.99,3060.06,3269.93,1980.81,6802.85,
2008-01-24,3322.33,12015.86,3168.96,3335.16,2049.14,6837.49,
2008-01-25,3382.21,12126.85,3248.89,3393.82,2097.49,6938.16,
2008-01-26,3382.21,12126.85,3248.89,3393.82,2097.49,6938.16,
2008-01-27,3382.21,12126.85,3248.89,3393.82,2097.49,6938.16,
2008-01-28,3247.37,11743.22,3070.93,3258.5,2032.44,6769.23,
2008-01-29,3277.68,11922.16,3044.7,3292.84,2031.68,6864.9,
2008-01-30,3181.3,11720.65,2862.17,3202.53,1964.21,6827.21,
2008-01-31,3252.92,11977.7,2941.47,3275.84,1988.87,6904.24,
2008-02-01,3274.89,11989.01,3005.9,3296.75,2004.2,6887.51,
2008-02-02,3274.89,11989.01,3005.9,3296.75,2004.2,6887.51,
2008-02-03,3274.89,11989.01,3005.9,3296.75,2004.2,6887.51,
2008-02-04,3396.28,12106.43,3171.62,3421.53,2051.2,6945.9,
2008-02-05,3405.17,12161.63,3192.41,3428.52,2071.4,6981.91,
2008-02-06,3405.17,12161.63,3192.41,3428.52,2071.4,6981.91,
2008-02-07,3405.17,12161.63,3192.41,3428.52,2071.4,6981.91,
2008-02-08,3405.17,12161.63,3192.41,3428.52,2071.4,6981.91,
2008-02-09,3405.17,12161.63,3192.41,3428.52,2071.4,6981.91,
2008-02-10,3405.17,12161.63,3192.41,3428.52,2071.4,6981.91,
2008-02-11,3282.38,11786.87,3069.71,3297.22,2033.26,6812,
2008-02-12,3285.81,11808.48,3085.54,3297.76,2050.52,6785.51,
2008-02-13,3262.26,11715.35,3069.89,3272.36,2050.09,6694.42,
2008-02-14,3393.22,12061.08,3221.5,3410.26,2099.15,6883.97,
2008-02-15,3383.58,11990.6,3248.87,3398,2105.84,6805.78,
2008-02-16,3383.58,11990.6,3248.87,3398,2105.84,6805.78,
2008-02-17,3383.58,11990.6,3248.87,3398,2105.84,6805.78,
2008-02-18,3388.22,12076.65,3262.69,3401.69,2110.24,6804.42,
