Frequency,MKF500,대형주,중형주,소형주,대형순수가치,대형순수성장,중형순수가치,중형순수성장,소형순수가치,소형순수성장
2008-01-01,3792.19,3802.94,5151.65,2340.03,9498.55,4283.64,16166.85,2189.05,20448.25,1446.44
2008-01-02,3710.29,3716.74,5030.74,2332.79,9244.79,4184.43,15678.72,2117.7,20242.21,1436.76
2008-01-03,3710.37,3712.57,5077.84,2339.53,9221.93,4174.9,15779.31,2147.34,20179.66,1440.01
2008-01-04,3730.23,3730.46,5111.63,2365.51,9284.89,4210.11,15783.25,2153.13,20253.28,1465.47
2008-01-05,3730.23,3730.46,5111.63,2365.51,9284.89,4210.11,15783.25,2153.13,20253.28,1465.47
2008-01-06,3730.23,3730.46,5111.63,2365.51,9284.89,4210.11,15783.25,2153.13,20253.28,1465.47
2008-01-07,3660.49,3656.63,5041.05,2341.48,9129.55,4143.45,15491.65,2115.24,20156.16,1441.13
2008-01-08,3647.6,3644.64,5019.28,2328.04,9115.65,4178.74,15513.81,2110.05,20090.23,1442.91
2008-01-09,3681.42,3679.01,5077.73,2336.3,9088.22,4238.11,15550.12,2137.66,20180.85,1459.03
2008-01-10,3639.11,3632.89,5030.51,2336.67,8961.29,4179.86,15354,2128.01,20114.23,1464.47
2008-01-11,3553.75,3549.25,4889.32,2283.21,8809.44,4020.85,14968.6,2070.56,19693.07,1421.87
2008-01-12,3553.75,3549.25,4889.32,2283.21,8809.44,4020.85,14968.6,2070.56,19693.07,1421.87
2008-01-13,3553.75,3549.25,4889.32,2283.21,8809.44,4020.85,14968.6,2070.56,19693.07,1421.87
2008-01-14,3523.13,3524.96,4792.37,2243.56,8856.74,3951.73,14638.4,2023.16,19387.59,1393.49
2008-01-15,3483.63,3489.42,4714.42,2198.65,8774.21,3846.33,14353.82,2014.09,19003.92,1375.87
2008-01-16,3397.4,3406.46,4581.62,2124.38,8582.2,3717.3,14030.63,1944.31,18569.36,1323.2
2008-01-17,3438.83,3450.37,4617.38,2142.31,8793.76,3703.08,14289.81,1944.35,18627.2,1335.76
2008-01-18,3465.82,3471.56,4711.82,2173.26,8911.42,3711.74,14468.02,1991.47,18923.26,1347.36
2008-01-19,3465.82,3471.56,4711.82,2173.26,8911.42,3711.74,14468.02,1991.47,18923.26,1347.36
2008-01-20,3465.82,3471.56,4711.82,2173.26,8911.42,3711.74,14468.02,1991.47,18923.26,1347.36
2008-01-21,3364.41,3371.91,4548.86,2109.03,8822.35,3513.07,13930.78,1920.76,18467.49,1317.47
2008-01-22,3213.78,3225.8,4335.88,1977.03,8567.28,3319.93,13396.07,1828.87,17647.09,1234.57
2008-01-23,3253.71,3269.93,4366.23,1980.81,8639.98,3405.62,13560.16,1842.76,17678.42,1226.51
