D A T E,A081660,A003670,A009520,A290720
2017-12-21,15900.0,33400.0,2210.0,
2017-12-22,16060.0,36000.0,2195.0,
2017-12-26,15820.0,37500.0,2225.0,
2017-12-27,16120.0,38200.0,2270.0,
2017-12-28,16320.0,39800.0,2290.0,
2018-01-02,16660.0,40500.0,2270.0,
2018-01-03,17500.0,39450.0,2345.0,
2018-01-04,17080.0,37900.0,2340.0,
2018-01-05,17240.0,40800.0,2395.0,
2018-01-08,16900.0,39950.0,2385.0,
2018-01-09,16960.0,40250.0,2390.0,
2018-01-10,17080.0,39900.0,2380.0,
2018-01-11,17040.0,43200.0,2385.0,
2018-01-12,16840.0,46950.0,2385.0,
2018-01-15,16660.0,46700.0,2380.0,
2018-01-16,17200.0,47650.0,2365.0,
2018-01-17,17120.0,49150.0,2385.0,
2018-01-18,16740.0,48650.0,2385.0,
2018-01-19,16860.0,48850.0,2405.0,
2018-01-22,16840.0,48500.0,2500.0,
2018-01-23,17300.0,48600.0,2475.0,
2018-01-24,17220.0,51000.0,2580.0,
2018-01-25,17580.0,49650.0,2605.0,
2018-01-26,17960.0,49400.0,2720.0,
2018-01-29,17720.0,50600.0,2965.0,
2018-01-30,17460.0,51200.0,3010.0,
2018-01-31,17280.0,49400.0,3365.0,
2018-02-01,17880.0,50000.0,3475.0,
2018-02-02,18000.0,50000.0,3510.0,
2018-02-05,17520.0,43600.0,3595.0,
2018-02-06,17040.0,45200.0,3510.0,
2018-02-07,16760.0,43600.0,3205.0,
2018-02-08,16800.0,46300.0,3285.0,
2018-02-09,17080.0,45550.0,3495.0,
2018-02-12,17480.0,44450.0,3435.0,
2018-02-13,17500.0,43200.0,3340.0,
2018-02-14,17780.0,45350.0,3310.0,
2018-02-19,17520.0,47250.0,3310.0,
2018-02-20,17500.0,46350.0,3375.0,
2018-02-21,17580.0,47100.0,3290.0,
2018-02-22,17740.0,47300.0,3210.0,
2018-02-23,18940.0,48150.0,3175.0,
2018-02-26,20000.0,47250.0,3105.0,
