D A T E,A081660,A003670,A009520,A290720
2017-12-21,16300.0,35200.0,2270.0,
2017-12-22,16180.0,36650.0,2225.0,
2017-12-26,16140.0,38000.0,2270.0,
2017-12-27,16160.0,38850.0,2280.0,
2017-12-28,16400.0,40600.0,2305.0,
2018-01-02,16740.0,40900.0,2295.0,
2018-01-03,17680.0,40800.0,2370.0,
2018-01-04,17640.0,39500.0,2355.0,
2018-01-05,17280.0,41100.0,2400.0,
2018-01-08,17240.0,41900.0,2420.0,
2018-01-09,17000.0,41400.0,2415.0,
2018-01-10,17100.0,40600.0,2400.0,
2018-01-11,17160.0,43250.0,2395.0,
2018-01-12,17160.0,46950.0,2405.0,
2018-01-15,16960.0,49000.0,2400.0,
2018-01-16,17340.0,49500.0,2400.0,
2018-01-17,17340.0,49950.0,2385.0,
2018-01-18,17100.0,52000.0,2390.0,
2018-01-19,17160.0,50400.0,2405.0,
2018-01-22,17100.0,48950.0,2500.0,
2018-01-23,17680.0,50000.0,2510.0,
2018-01-24,17460.0,51800.0,2590.0,
2018-01-25,17600.0,51500.0,2615.0,
2018-01-26,18220.0,50200.0,2780.0,
2018-01-29,18020.0,51300.0,3015.0,
2018-01-30,17720.0,52200.0,3070.0,
2018-01-31,17540.0,51100.0,3650.0,
2018-02-01,18040.0,50500.0,3540.0,
2018-02-02,18100.0,50600.0,3595.0,
2018-02-05,17820.0,48900.0,3880.0,
2018-02-06,17120.0,46200.0,3575.0,
2018-02-07,17380.0,47400.0,3650.0,
2018-02-08,17000.0,47350.0,3360.0,
2018-02-09,17180.0,46300.0,3540.0,
2018-02-12,17700.0,46450.0,3645.0,
2018-02-13,17800.0,45800.0,3530.0,
2018-02-14,17780.0,45350.0,3420.0,
2018-02-19,17960.0,47650.0,3395.0,
2018-02-20,17780.0,47700.0,3490.0,
2018-02-21,17600.0,47450.0,3400.0,
2018-02-22,17780.0,47700.0,3335.0,
2018-02-23,19760.0,48800.0,3235.0,
2018-02-26,20200.0,48750.0,3175.0,
2018-02-27,20500.0,48150.0,4000.0,
2018-02-28,20400.0,46800.0,3700.0,
2018-03-02,20600.0,45500.0,3495.0,
2018-03-05,20400.0,46400.0,3320.0,
2018-03-06,19880.0,48200.0,3225.0,
2018-03-07,20300.0,50500.0,3215.0,
2018-03-08,21300.0,49700.0,3190.0,
2018-03-09,21200.0,49650.0,3175.0,
2018-03-12,20900.0,49250.0,3180.0,
2018-03-13,20800.0,49150.0,3160.0,
2018-03-14,20200.0,50400.0,3150.0,
2018-03-15,20500.0,50800.0,3570.0,
2018-03-16,20700.0,50200.0,3530.0,
2018-03-19,20900.0,49150.0,3465.0,
2018-03-20,21900.0,48900.0,3475.0,
2018-03-21,22700.0,48500.0,3470.0,
2018-03-22,23400.0,49800.0,3370.0,
2018-03-23,22600.0,48950.0,3435.0,
2018-03-26,22200.0,49550.0,3300.0,
2018-03-27,22800.0,50400.0,3380.0,
2018-03-28,22600.0,48750.0,3240.0,
2018-03-29,22300.0,48000.0,3265.0,
2018-03-30,21800.0,48500.0,3275.0,
2018-04-02,22300.0,48700.0,3540.0,
2018-04-03,22500.0,47150.0,3550.0,
2018-04-04,23100.0,46350.0,3465.0,
2018-04-05,23700.0,43450.0,3305.0,
2018-04-06,23300.0,42950.0,3295.0,
2018-04-09,23200.0,42100.0,3230.0,
2018-04-10,23800.0,42350.0,3210.0,
2018-04-11,24100.0,42400.0,3190.0,
2018-04-12,25200.0,42750.0,3280.0,
2018-04-13,25400.0,43250.0,3295.0,
2018-04-16,25800.0,42450.0,3160.0,
2018-04-17,26200.0,43500.0,3140.0,
2018-04-18,26200.0,41000.0,3245.0,
2018-04-19,26100.0,38750.0,3500.0,
2018-04-20,25400.0,38450.0,4300.0,
2018-04-23,25600.0,38950.0,4550.0,
2018-04-24,25900.0,38500.0,5320.0,
2018-04-25,25100.0,38050.0,6570.0,
2018-04-26,25200.0,38450.0,6360.0,
2018-04-27,25700.0,38350.0,6640.0,
2018-04-30,26300.0,37600.0,6250.0,
2018-05-02,26400.0,36450.0,6220.0,
2018-05-03,25900.0,36850.0,6050.0,
2018-05-04,25900.0,36850.0,6750.0,
2018-05-08,25900.0,37100.0,6270.0,
2018-05-09,25400.0,40000.0,6020.0,
2018-05-10,25600.0,40250.0,6140.0,
2018-05-11,26650.0,40400.0,6030.0,
2018-05-14,26600.0,39750.0,7180.0,
2018-05-15,26300.0,39300.0,6980.0,
2018-05-16,27150.0,37650.0,6560.0,
2018-05-17,27750.0,39800.0,6530.0,
2018-05-18,28200.0,39900.0,6220.0,
2018-05-21,28200.0,40900.0,6100.0,
2018-05-23,27550.0,41750.0,6070.0,
2018-05-24,27450.0,40300.0,6100.0,
2018-05-25,27200.0,40450.0,4910.0,
2018-05-28,26550.0,40800.0,6160.0,
2018-05-29,27000.0,45100.0,6160.0,
2018-05-30,27900.0,46400.0,6880.0,
2018-05-31,29350.0,46100.0,6560.0,
2018-06-01,29750.0,45100.0,6490.0,
2018-06-04,29850.0,45500.0,6670.0,
2018-06-05,30150.0,44750.0,6350.0,
2018-06-07,30650.0,47000.0,8110.0,
2018-06-08,30250.0,46900.0,7170.0,
2018-06-11,30550.0,46850.0,7130.0,
2018-06-12,32500.0,46950.0,6840.0,
2018-06-14,33600.0,46250.0,6070.0,
2018-06-15,34600.0,45050.0,5740.0,
2018-06-18,34150.0,43550.0,6400.0,
2018-06-19,33050.0,42150.0,6070.0,
2018-06-20,33950.0,43150.0,5900.0,
2018-06-21,35900.0,43350.0,5970.0,
2018-06-22,35750.0,42900.0,5760.0,
2018-06-25,36900.0,45500.0,5630.0,
2018-06-26,36250.0,44150.0,5560.0,
2018-06-27,35400.0,44700.0,5400.0,
2018-06-28,35000.0,44550.0,5220.0,
2018-06-29,34500.0,44500.0,4960.0,
2018-07-02,35000.0,45350.0,5050.0,
2018-07-03,36000.0,46500.0,4715.0,
2018-07-04,35600.0,46600.0,4840.0,
2018-07-05,34800.0,46700.0,4675.0,
2018-07-06,35000.0,48350.0,4800.0,
2018-07-09,34900.0,49300.0,4470.0,
2018-07-10,34850.0,49500.0,4345.0,
2018-07-11,35000.0,47800.0,4680.0,
2018-07-12,33500.0,48750.0,4595.0,
2018-07-13,35400.0,49100.0,4780.0,
2018-07-16,35100.0,47700.0,4750.0,
2018-07-17,34800.0,46600.0,4650.0,
2018-07-18,34800.0,46950.0,4590.0,
2018-07-19,33300.0,48150.0,4670.0,
