D A T E,A081660,A003670,A009520,A290720
2017-12-21,15840.0,33400.0,2185.0,
2017-12-22,15800.0,33250.0,2170.0,
2017-12-26,15820.0,35900.0,2200.0,
2017-12-27,15780.0,37500.0,2215.0,
2017-12-28,16040.0,38050.0,2260.0,
2018-01-02,16180.0,39200.0,2180.0,
2018-01-03,16740.0,38600.0,2265.0,
2018-01-04,17000.0,37900.0,2310.0,
2018-01-05,16820.0,38000.0,2320.0,
2018-01-08,16640.0,39100.0,2355.0,
2018-01-09,16780.0,39650.0,2375.0,
2018-01-10,16700.0,39100.0,2365.0,
2018-01-11,16720.0,39500.0,2310.0,
2018-01-12,16680.0,42500.0,2360.0,
2018-01-15,16580.0,45550.0,2360.0,
2018-01-16,16600.0,46100.0,2360.0,
2018-01-17,16920.0,46950.0,2345.0,
2018-01-18,16580.0,48600.0,2360.0,
2018-01-19,16700.0,48050.0,2380.0,
2018-01-22,16840.0,47450.0,2405.0,
2018-01-23,16860.0,48300.0,2450.0,
2018-01-24,17120.0,48000.0,2445.0,
2018-01-25,17100.0,49400.0,2535.0,
2018-01-26,17540.0,49200.0,2570.0,
2018-01-29,17680.0,49400.0,2750.0,
2018-01-30,17260.0,50200.0,2865.0,
2018-01-31,17020.0,48800.0,2950.0,
2018-02-01,17400.0,49250.0,3235.0,
2018-02-02,17680.0,49300.0,3425.0,
2018-02-05,17400.0,43550.0,3440.0,
2018-02-06,16520.0,40050.0,3270.0,
2018-02-07,16720.0,43600.0,3205.0,
2018-02-08,16500.0,44000.0,3205.0,
2018-02-09,16280.0,44350.0,3110.0,
2018-02-12,16820.0,44100.0,3375.0,
2018-02-13,17180.0,43050.0,3295.0,
2018-02-14,17240.0,43000.0,3300.0,
2018-02-19,17460.0,45500.0,3150.0,
2018-02-20,17300.0,46000.0,3345.0,
2018-02-21,17380.0,45650.0,3240.0,
2018-02-22,17260.0,46400.0,3210.0,
2018-02-23,18500.0,47550.0,3175.0,
2018-02-26,19140.0,46950.0,3065.0,
2018-02-27,18980.0,47000.0,3130.0,
2018-02-28,19940.0,44550.0,3450.0,
2018-03-02,19700.0,43600.0,3240.0,
2018-03-05,19440.0,44750.0,3010.0,
2018-03-06,19380.0,45700.0,3020.0,
2018-03-07,19560.0,47350.0,3055.0,
2018-03-08,20200.0,48000.0,3065.0,
2018-03-09,20200.0,45100.0,3075.0,
