D A T E,A081660,A003670,A009520,A290720
2017-12-21,16240.0,34150.0,2270.0,
2017-12-22,15900.0,33400.0,2220.0,
2017-12-26,16060.0,36200.0,2200.0,
2017-12-27,16020.0,37900.0,2225.0,
2017-12-28,16100.0,38450.0,2270.0,
2018-01-02,16440.0,40400.0,2295.0,
2018-01-03,16800.0,40750.0,2265.0,
2018-01-04,17640.0,39100.0,2350.0,
2018-01-05,17060.0,38000.0,2340.0,
2018-01-08,17040.0,41700.0,2395.0,
2018-01-09,16900.0,40250.0,2385.0,
2018-01-10,16780.0,40100.0,2400.0,
2018-01-11,17040.0,40200.0,2380.0,
2018-01-12,17160.0,43500.0,2395.0,
2018-01-15,16940.0,47500.0,2395.0,
2018-01-16,16700.0,46600.0,2395.0,
2018-01-17,17340.0,47700.0,2365.0,
2018-01-18,17040.0,50000.0,2390.0,
2018-01-19,16720.0,49150.0,2395.0,
2018-01-22,16860.0,48100.0,2405.0,
2018-01-23,16860.0,49100.0,2500.0,
2018-01-24,17300.0,48600.0,2475.0,
2018-01-25,17320.0,50000.0,2575.0,
2018-01-26,17580.0,49750.0,2625.0,
2018-01-29,17960.0,49750.0,2825.0,
2018-01-30,17720.0,50300.0,2980.0,
2018-01-31,17460.0,50500.0,3000.0,
2018-02-01,17500.0,49250.0,3365.0,
2018-02-02,17900.0,50500.0,3500.0,
2018-02-05,17620.0,47600.0,3450.0,
2018-02-06,16800.0,40800.0,3440.0,
2018-02-07,17360.0,47100.0,3630.0,
2018-02-08,17000.0,44400.0,3250.0,
2018-02-09,16640.0,44500.0,3200.0,
2018-02-12,17080.0,46100.0,3520.0,
2018-02-13,17800.0,45150.0,3530.0,
2018-02-14,17620.0,43350.0,3385.0,
2018-02-19,17800.0,45950.0,3215.0,
2018-02-20,17620.0,47700.0,3370.0,
2018-02-21,17500.0,46300.0,3365.0,
2018-02-22,17600.0,46750.0,3290.0,
2018-02-23,18880.0,47900.0,3200.0,
2018-02-26,19180.0,48500.0,3165.0,
2018-02-27,19920.0,47700.0,3150.0,
2018-02-28,20100.0,46700.0,3655.0,
2018-03-02,19700.0,43650.0,3490.0,
2018-03-05,20200.0,45850.0,3270.0,
2018-03-06,19700.0,45800.0,3070.0,
2018-03-07,19900.0,48250.0,3175.0,
2018-03-08,20200.0,49450.0,3085.0,
2018-03-09,21200.0,48850.0,3110.0,
2018-03-12,20500.0,48100.0,3135.0,
2018-03-13,20400.0,48900.0,3150.0,
2018-03-14,19920.0,48100.0,3130.0,
2018-03-15,20200.0,50200.0,3125.0,
2018-03-16,20400.0,50200.0,3380.0,
2018-03-19,20900.0,48550.0,3430.0,
2018-03-20,20500.0,48100.0,3325.0,
2018-03-21,22000.0,48500.0,3470.0,
2018-03-22,22900.0,48100.0,3320.0,
2018-03-23,22400.0,47900.0,3290.0,
2018-03-26,21400.0,47450.0,3200.0,
2018-03-27,22500.0,50400.0,3210.0,
2018-03-28,22200.0,47850.0,3210.0,
2018-03-29,21900.0,48000.0,3170.0,
2018-03-30,21600.0,47600.0,3220.0,
2018-04-02,21800.0,48200.0,3285.0,
2018-04-03,22000.0,46800.0,3510.0,
2018-04-04,22300.0,46150.0,3450.0,
2018-04-05,22900.0,42250.0,3245.0,
2018-04-06,22400.0,42100.0,3295.0,
2018-04-09,23000.0,41950.0,3215.0,
2018-04-10,22800.0,40900.0,3140.0,
2018-04-11,23800.0,41700.0,3155.0,
2018-04-12,24200.0,42200.0,3185.0,
2018-04-13,25400.0,43050.0,3295.0,
2018-04-16,25200.0,42250.0,3160.0,
2018-04-17,25900.0,41900.0,3105.0,
2018-04-18,25700.0,40450.0,3135.0,
2018-04-19,25700.0,38300.0,3255.0,
2018-04-20,25000.0,38100.0,3405.0,
2018-04-23,25300.0,37600.0,4095.0,
2018-04-24,25500.0,38200.0,4195.0,
2018-04-25,24900.0,37450.0,6020.0,
2018-04-26,24600.0,37900.0,5160.0,
2018-04-27,25200.0,37850.0,5850.0,
2018-04-30,25400.0,37200.0,5750.0,
2018-05-02,26000.0,36050.0,6180.0,
2018-05-03,25900.0,34950.0,5930.0,
2018-05-04,25900.0,35650.0,5420.0,
2018-05-08,25900.0,34900.0,5790.0,
2018-05-09,24800.0,36000.0,5910.0,
2018-05-10,24950.0,38900.0,5780.0,
2018-05-11,25650.0,39750.0,5900.0,
2018-05-14,26500.0,38450.0,6270.0,
2018-05-15,25600.0,38650.0,6600.0,
2018-05-16,26250.0,36600.0,6100.0,
2018-05-17,27000.0,36950.0,6100.0,
2018-05-18,27550.0,39800.0,6100.0,
2018-05-21,28200.0,39600.0,5930.0,
2018-05-23,27200.0,40650.0,5950.0,
2018-05-24,27200.0,40300.0,6100.0,
2018-05-25,27100.0,39500.0,4525.0,
2018-05-28,26200.0,39500.0,5700.0,
2018-05-29,26650.0,40600.0,6160.0,
2018-05-30,26900.0,45500.0,6140.0,
2018-05-31,28250.0,45650.0,6340.0,
2018-06-01,29150.0,45100.0,6450.0,
2018-06-04,29500.0,43950.0,6210.0,
2018-06-05,29650.0,44200.0,6200.0,
2018-06-07,30200.0,45350.0,6400.0,
2018-06-08,30100.0,46200.0,7080.0,
2018-06-11,30150.0,46400.0,6710.0,
