Code,Name,결산월,상장폐지일,상장폐지사유
A000380,대아건설,12.0,20041021.0,피흡수합병(20040922)
A000870,전진산업,12.0,19990115.0,(주)아벤티스크롭사이언스코리아에 피흡수합병
A001850,임광토건,12.0,20000607.0,주식분산기준미달
A001990,자유건설,12.0,19991030.0,주식분산기준  미달
A002480,범양사,12.0,20050504.0,주식분산기준 미달 2년 연속
A002670,미주제강,12.0,20120417.0,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래 정지
A003430,유진화학공업,12.0,20000607.0,주식분산기준미달
A003860,성담,12.0,19991030.0,주식분산기준  미달
A004320,울트라건설,12.0,20150413.0,자본전액잠식
A004790,렉스엘이앤지,12.0,20140304.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정"
A005370,원진,12.0,20000607.0,주식분산기준미달
A006000,남송개발,12.0,20000118.0,주식분산기준미달
A006300,대전상호신용금고,6.0,20000707.0,영업전부의 양도 및 협회가 필요하다고 인정하는 경우
A006540,한국상호신용금고,6.0,19990726.0,최종부도 또는 당좌거래정지(1년)
A007020,캡스,9.0,19990516.0,자진등록취소
A007090,대동상호신용금고,6.0,20000603.0,피흡수합병
A007150,동양텔레콤,12.0,20120911.0,2회 연속 자본잠식률 50%이상
A007260,동화상호신용금고,6.0,19990726.0,최종부도 또는 당좌거래정지(1년)
A007640,애큐온저축은행,12.0,20090203.0,상장폐지신청(20090112)
A007830,부산상호저축은행,6.0,20041231.0,자진등록취소
A007840,한국협화화학공업,12.0,20000428.0,주식분산기준미달
A007930,대신석유,12.0,20000607.0,주식분산기준미달
A008030,아이텍스필,12.0,20050602.0,최종부도(20050502)
A008340,대주코레스,12.0,20100413.0,자본전액잠식
A008580,대성전기,12.0,19990212.0,등록법인의 취소신청
A008780,아이인프라,12.0,20031108.0,액면가일정비율 미달
A008920,삼천전기,12.0,20000128.0,피흡수합병
A009010,에듀언스,12.0,20130501.0,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)
A009220,그로웰전자,12.0,20050119.0,액면가액일정비율미만(20050104)
A010670,나노트로닉스,12.0,20140411.0,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당
A010810,정일이엔씨,12.0,20000607.0,"당좌거래저지, 화의절차개시"
A011870,삼보이엔씨,12.0,20000607.0,"사업보고서 미제출,화의절차개시"
A011890,제일곡산,12.0,20000118.0,주식분산기준 미달
A012010,삼산,12.0,20000607.0,"사업보고서 미제출,화의절차개시"
A012350,한국체인공업,12.0,19991030.0,주식분산기준  미달
A012460,우영,12.0,20080313.0,최종부도
A012650,쌍용건설,12.0,20140411.0,자본전액잠식 등
A013250,대양상호신용금고,6.0,20021004.0,해산사유(파산확정)발생
A013320,삼경정밀,12.0,20000607.0,자본전액잠식
A013340,AJS,12.0,20140902.0,감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
A013450,동성하이켐,12.0,20150720.0,피흡수합병
A013630,휴먼이노텍,12.0,20020420.0,감사의견거절
A013650,데코,12.0,20101019.0,피흡수합병
A013780,아큐텍,12.0,20130423.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정"
A013850,교하산업,12.0,20000607.0,"당좌거래정지,자본전액잠식,회사정리절차개시"
A013900,두원중공업,12.0,20000607.0,자본전액잠식
A014090,석천,12.0,20000607.0,자본전액잠식
A014420,프로비타,12.0,20091106.0,주된 영업의 정지에 의한 상장폐지기준 해당
A014590,티엘씨레저,12.0,20110513.0,감사의견 의견거절
A015050,비전하이테크,12.0,20100309.0,"기업의 계속성, 경영의 투명성 등 고려하여 상장폐지 인정"
A015060,미주실업,12.0,20001128.0,회사정리절차신청 기각
A015150,다산,12.0,20011121.0,2연속 자본잠식에 준한느 사유 발생
A015170,중앙바이오텍,12.0,20100413.0,자본전액잠식
A015200,성원,12.0,20120501.0,감사의견거절(감사범위제한)
A015390,엘앤씨피,12.0,20120413.0,감사의견거절(감사범위제한)
A016040,디에스피,12.0,20090411.0,자본전액잠식
A016140,웨스테이트,6.0,20121012.0,상장폐지신청('12.09.12)
A016170,카카오M,12.0,20180918.0,피흡수합병
A016890,대웅바이오,3.0,20090420.0,피흡수합병
A016990,LG마이크론,12.0,20090716.0,피흡수합병
A017010,제너비오믹스,12.0,20100326.0,"기업의 계속성, 경영의 투명성 등 고려하여 상장폐지 인정"
A017050,스타맥스,12.0,20100405.0,"기업의 계속성, 경영의 투명성 등 고려하여 상장폐지 인정"
A017090,풍연,12.0,20010525.0,자본전액잠식(2년)
A017160,세븐코스프,12.0,20110429.0,감사의견거절(감사범위제한 및 계속기업으로서의 존속능력에 대한 불확실성)
A017210,코닉스,12.0,20021114.0,최종부도 및 은행거래정지
A017620,라인건설,12.0,20000607.0,"당좌거래정지,화의절차개시"
A017740,주화산업,12.0,20000607.0,"당좌거래정지,자본전액잠식,회사정리절차개시"
A018180,텔슨정보통신,12.0,20050407.0,감사의견거절(20050322)
A018720,동양기공,12.0,20000607.0,"딜러미변경,자본전액잠식"
A018890,모라리소스,12.0,20100722.0,"기업의 계속성, 경영의 투명성 등 고려하여 상장폐지 인정"
A019120,경윤하이드로,12.0,20110406.0,"기업의 계속성, 경영의 투명성 등 고려하여 상장폐지 인정"
A019260,엔케이바이오,12.0,20120905.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정"
A019430,넥서스투자,12.0,20110429.0,감사의견거절(감사범위제한)
A019560,한국파트너스,12.0,20051224.0,상장폐지신청(20051221)
A019640,희훈디앤지,12.0,20090423.0,자본전액잠식
A020070,에버리소스,12.0,20100501.0,감사의견거절(감사범위제한 및 계속기업능력에 대한 불확실성)
A020490,아이씨켐,12.0,20021011.0,최조부도 및 은행거래정지
A020860,리타워테크놀러지스,12.0,20030411.0,감사의견거절
A021060,한림창투,12.0,20120627.0,"기업의계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정"
A021090,케미그라스,12.0,20031220.0,자진등록취소
A021570,알루코,12.0,20051013.0,최종부도(20050927)
A021600,대동은행,12.0,19990225.0,영업인가취소에 따른 해산사유발생
A021740,세화기술투자,12.0,20021024.0,무한투자(34510)에 피흡수합병
A021930,경남리스금융,3.0,20020719.0,피흡수합병(한국캐피탈)
A021960,KB캐피탈,12.0,20170721.0,지주회사의 완전자회사화
A022060,삼성투자신탁증권,3.0,20001213.0,피흡수합병(삼성증권)
A022510,동호전기,12.0,20000607.0,"자본전액잠식, 화의절차개시"
A022520,코오롱아이넷,12.0,20120111.0,해산 사유 발생
A022610,한일,12.0,20040207.0,자진등록 취소
A022770,금강정공,12.0,20000607.0,"자본전액잠식, 회사정리절차개시"
A022780,옵셔널벤처스코리아,3.0,20020731.0,감사범위제한으로 인한 한정의견
A022870,평화은행,12.0,20010707.0,거래실적부진
A023020,동양매직,12.0,20110914.0,피흡수합병
A023140,다다,12.0,19991030.0,주식분산기준  미달
A023420,유진종합개발,12.0,20051231.0,피흡수합병
A023430,아이이,12.0,20171220.0,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
A023670,알이엔,12.0,20100617.0,"기업의 계속성, 경영의 투명성 등 고려하여 상장폐지 인정"
A023780,신한캐피탈,3.0,20010913.0,등록신청(금융지주회사로의 주식이전)
A024080,카리스소프트,12.0,20021017.0,최근 2년간 3회이상 불성실공시법인으로 지정
A024660,하림홀딩스,12.0,20180716.0,피흡수합병
A024920,동신특강,12.0,20000607.0,"딜러미변경,자본전액잠식,화의절차개시"
A024930,국정교과서,12.0,19990518.0,(주)대한교과서에 피흡수합병
A025080,외환리스금융,3.0,20010824.0,자본전액잠식(2년)
A025150,삼주건설,12.0,20000607.0,"주식분산기준미달,자본전액잠식"
A025270,부산방직,12.0,20160818.0,피흡수합병
A025340,그린기술투자,12.0,20111228.0,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정
A025450,한마음상호저축은행,6.0,20041007.0,감사의견부적정
A025460,팬텀엔터그룹,12.0,20090429.0,감사범위 제한에 따른 감사의견 거절
A025690,동방라이텍,12.0,20050312.0,감사의견거절(20050224)
A025920,우경,12.0,20130710.0,감사의견거절(감사범위 제한)
A025970,알덱스,12.0,20111220.0,피흡수합병
A026220,에스티씨라이프,12.0,20111129.0,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정
A026230,IDH,12.0,20090429.0,감사범위 제한에 따른 감사의견 거절
A026240,동남리스금융,3.0,20000728.0,영업전부의 양도
A026250,삼우이엠씨,12.0,20130412.0,자본전액잠식
A026260,위너지스,12.0,20181011.0,감사의견거절(감사범위 제한)
A026540,제일창투,12.0,20111014.0,감사의견거절(감사범위제한)
A026970,대백저축은행,12.0,20041105.0,액면가액일정비율미만
A027350,텔슨전자,12.0,20040810.0,최종부도
A027440,코리아이앤디,12.0,20040414.0,감사의견거절(20040329)
A027560,케이디엠,12.0,20020503.0,자진등록취소
A027610,대륭산업,12.0,20000607.0,"주식분산기준미달,당좌거래정지,화의절차개시"
A027700,대백쇼핑,12.0,20040618.0,관리종목지정후90일간종가가동비율이상인일이30이상일것불충족
A027890,스탠더드텔레콤,12.0,20030405.0,감사의견부적정
A028090,네오퍼플,12.0,20130503.0,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)
