Code,Name,결산월,상장폐지일,상장폐지사유
A000010,신한은행,12,2004-07-02,신한금융지주회사의완전자회사편입(100%소유)
A000090,두산상사,12,1998-10-09,㈜두산(구 오비맥주)에 피흡수합병으로 인한 해산
A000110,한국스탠다드차타드은행,12,2005-04-22,자진상장폐지신청
A000130,한일은행,12,1999-01-11,㈜한국상업은행과 합병후 해산
A000160,대한중석,12,1999-10-27,상장폐지유예기간종료(영업활동정지 및 주요자산 경매신청)
A000170,엘지금속,12,1999-04-08,LG산전㈜에 피흡수합병으로 인한 해산
A000200,대우중공업,12,2001-05-23,영업활동에필요한자산을보유하고있지않음
A000280,동아건설산업,12,2001-06-07,회사정리절차폐지결정
A000310,해태제과,6,2001-11-10,주요 영업용자산 매각에 따른 영업활동정지
A000330,두산백화,12,1998-10-09,㈜두산(구 오비맥주)에 피흡수합병으로 인한 해산
A000360,삼환기업,12,2015-04-15,자본전액잠식
A000420,로케트전기,12,2015-02-24,감사의견 의견거절
A000450,한주통산,12,1998-11-18,영업활동정지 및 주요자산의 경매 2회이상 유찰로 유예기간단축
A000470,그린손해보험,3,2012-07-16,자본전액잠식
A000510,태화,12,1999-05-25,자본전액잠식 3년계속
A000570,금호건설,12,1999-03-22,금호타이어㈜에 피흡수합병으로 인한 해산
A000610,제일화재,3,2010-01-20,한화손해보험(주)에 피흡수합병으로 인한 해산
A000730,서울교통공사,12,1995-05-25,"자본전액잠식 10년 계속, 공시서류미제출"
A000790,C&상선,12,2009-05-13,2008사업연도 감사인의 감사보고서상 감사의견거절
A000800,경남기업,12,2015-04-15,자본전액잠식
A000830,삼성물산,12,2015-09-15,해산 사유 발생
A000840,한국벨트,12,2000-06-30,회사정리절차 폐지확정에 따른 상장폐지유예기간 종료
A000900,강원산업,12,2000-04-12,인천제철㈜에 피흡수합병으로 인한 해산
A000930,한화기계,12,1999-01-04,㈜한화에 피흡수합병으로 인한 해산
A000980,극동건설,12,2003-10-15,신청에 의한 상장폐지
A001030,리젠트화재해상보험,3,2002-08-10,2001사업년도 외부감사인의 감사의견거절
A001090,동서증권,3,1998-10-17,영업인가취소에 따른 해산사유발생
A001100,동양정밀공업,12,1994-12-23,"회사정리절차폐지, 자본전액잠식 3년 계속, 공시서류미제출"
A001110,대농,12,2002-04-27,자본전액잠식2년계속
A001150,서통,12,2003-10-02,"최종부도발생 및 은행거래정지, 회사정리절차개시신청"
A001160,신원제이엠씨,12,1999-08-27,㈜신원에 피흡수합병으로 인한 해산
A001170,장은증권,3,1999-11-25,증권업허가취소(99.10.6)
A001190,마이크로닉스,12,2009-04-27,공시서류 미제출(사업보고서) 후 10일이내 미제출
A001280,우리증권,3,2004-06-24,우리금융지주회사로 편입
A001300,제일모직,12,2014-07-15,삼성SDI(주)에 흡수합병되어 해산
A001310,풍림산업,12,2012-05-18,최종부도발생
A001350,대한모방,12,2000-06-30,회사정리절차 폐지
A001370,FnC코오롱,12,2009-08-17,(주)코오롱에 피흡수합병으로 인한 해산
A001400,동산씨앤지,12,2001-04-24,회사정리절차폐지확정
A001490,천지산업,12,2004-10-22,2003사업연도 사업보고서상 자본금 전액 잠식
