Code,Name,결산월,WICS업종코드(대),WICS업종명(중),WICS업종명(소)
A000250,삼천당제약,12.0,G35,제약과생물공학,제약
A000380,대아건설,12.0,,,
A000440,중앙에너비스,12.0,G10,에너지,석유와가스
A000530,대한제지,12.0,,,
A000550,삼덕제지,12.0,,,
A000600,삼화실업,12.0,,,
A000870,전진산업,12.0,,,
A001000,신라섬유,12.0,G40,부동산,부동산
A001540,안국약품,12.0,G35,제약과생물공학,제약
A001810,무림SP,12.0,G15,소재,종이와목재
A001840,이화공영,12.0,G20,자본재,건설
A001850,임광토건,12.0,,,
A001910,영일케미컬,12.0,,,
A001990,자유건설,12.0,,,
A002190,우주건설,12.0,,,
A002230,피에스텍,12.0,G45,전자와 전기제품,전기제품
A002290,삼일기업공사,12.0,G20,자본재,건설
A002480,범양사,12.0,,,
A002670,미주제강,12.0,,,
A002680,한탑,12.0,G30,"식품,음료,담배",식품
A002750,피죤,12.0,,,
A002800,신신제약,12.0,G35,제약과생물공학,제약
A002830,삼능건설,12.0,,,
A003100,선광,12.0,G20,운송,운송인프라
A003310,대주산업,12.0,G30,"식품,음료,담배",식품
A003380,하림지주,12.0,G30,"식품,음료,담배",식품
A003430,유진화학공업,12.0,,,
A003670,포스코켐텍,12.0,G15,소재,화학
A003700,비락,12.0,,,
A003800,에이스침대,12.0,G20,자본재,가구
A003860,성담,12.0,,,
A003890,삼일공사,12.0,,,
A004320,울트라건설,12.0,,,
A004480,동방전자,12.0,,,
A004520,삼호건설,12.0,,,
A004590,한국가구,12.0,G30,식품과기본식료품소매,식품과기본식료품소매
A004650,창해에탄올,12.0,G30,"식품,음료,담배",음료
A004750,삼우빅케치,12.0,,,
A004780,대륙제관,12.0,G15,소재,포장재
A004790,렉스엘이앤지,12.0,,,
A005160,동국산업,12.0,G15,소재,철강
A005290,동진쎄미켐,12.0,G45,기술하드웨어와장비,전자장비와기기
A005370,원진,12.0,,,
A005470,한국염공,12.0,,,
A005650,단암산업,12.0,,,
A005670,푸드웰,12.0,G30,"식품,음료,담배",식품
A005710,대원산업,12.0,G25,자동차와부품,자동차부품
A005860,한일사료,12.0,G30,"식품,음료,담배",식품
A005990,매일홀딩스,12.0,G30,"식품,음료,담배",식품
A006000,남송개발,12.0,,,
A006050,국영지앤엠,12.0,G20,자본재,건축제품
A006140,피제이전자,12.0,G35,건강관리장비와서비스,건강관리장비와용품
A006300,대전상호신용금고,6.0,,,
A006520,형진건설,12.0,,,
A006540,한국상호신용금고,6.0,,,
A006580,대양제지,12.0,G15,소재,포장재
A006620,동구바이오제약,12.0,G35,제약과생물공학,제약
A006730,서부T&D,12.0,G20,상업서비스와공급품,상업서비스와공급품
A006860,혜성테푸,12.0,,,
A006910,보성파워텍,12.0,G20,자본재,전기장비
A006920,모헨즈,12.0,G20,자본재,건축자재
A007020,캡스,9.0,,,
A007090,대동상호신용금고,6.0,,,
A007140,강남화성,12.0,,,
A007150,동양텔레콤,12.0,,,
A007260,동화상호신용금고,6.0,,,
A007330,푸른저축은행,12.0,G40,다각화된금융,기타금융
A007370,진양제약,12.0,G35,제약과생물공학,제약
A007390,네이처셀,12.0,G30,"식품,음료,담배",음료
A007530,영신금속,12.0,G25,자동차와부품,자동차부품
A007560,한국코인,12.0,,,
A007640,애큐온저축은행,12.0,,,
A007680,대원,12.0,G20,자본재,건설
A007720,대명코퍼레이션,12.0,G25,소매(유통),판매업체
A007721,HS홀딩스보통1신주,,G25,소매(유통),판매업체
A007770,한일화학,12.0,G15,소재,화학
A007820,에스엠코어,12.0,G20,자본재,기계
A007830,부산상호저축은행,6.0,,,
A007840,한국협화화학공업,12.0,,,
A007850,한국화이바,12.0,,,
A007930,대신석유,12.0,,,
A007990,신중앙금고,6.0,,,
A008010,삼협개발,12.0,,,
A008030,아이텍스필,12.0,,,
A008050,경북금고,6.0,,,
A008160,보람금고,6.0,,,
A008170,프라임저축은행,6.0,,,
A008290,원풍물산,12.0,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A008330,동미전기,12.0,,,
A008340,대주코레스,12.0,,,
A008370,원풍,12.0,G15,소재,화학
A008410,동방금고,6.0,,,
A008430,성보섬유,12.0,,,
A008470,부스타,12.0,G20,자본재,기계
A008580,대성전기,12.0,,,
A008680,남신,12.0,,,
A008780,아이인프라,12.0,,,
A008800,행남사,12.0,G25,내구소비재와의류,가정용기기와용품
A008830,대동기어,12.0,G20,자본재,기계
A008860,한영전자,3.0,,,
A008920,삼천전기,12.0,,,
A008960,경북콘크리트,12.0,,,
A009010,에듀언스,12.0,,,
A009220,그로웰전자,12.0,,,
A009300,삼아제약,12.0,G35,제약과생물공학,제약
A009520,포스코엠텍,12.0,G15,소재,철강
A009590,경동,12.0,,,
A009620,삼보산업,12.0,G25,자동차와부품,자동차부품
A009730,코센,12.0,G15,소재,비철금속
A009780,엠에스씨,12.0,G30,"식품,음료,담배",식품
A009950,삼한실업,12.0,,,
A010170,대한광통신,12.0,G20,자본재,전기장비
A010240,흥국,12.0,G20,자본재,기계
A010280,쌍용정보통신,12.0,G45,소프트웨어와서비스,IT서비스
A010470,오리콤,12.0,G25,미디어,광고
A010670,나노트로닉스,12.0,,,
A010810,정일이엔씨,12.0,,,
A010920,로보트보일러,12.0,,,
A011040,경동제약,12.0,G35,제약과생물공학,제약
A011080,형지I&C,12.0,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A011320,유니크,12.0,G25,자동차와부품,자동차부품
A011360,국제밸브공업,12.0,,,
A011370,서한,12.0,G20,자본재,건설
A011520,서울가든,12.0,,,
A011560,세보엠이씨,12.0,G20,자본재,건설
A011770,주일,12.0,,,
A011860,동아일렉콤,12.0,,,
A011870,삼보이엔씨,12.0,,,
A011890,제일곡산,12.0,,,
A011900,라이카,12.0,,,
A011920,태평양금속,12.0,,,
A012010,삼산,12.0,,,
A012340,뉴인텍,12.0,G45,전자와 전기제품,전기제품
A012350,한국체인공업,12.0,,,
A012360,신신상사,12.0,,,
A012460,우영,12.0,,,
A012540,일신,12.0,,,
A012620,원일특강,12.0,G15,소재,철강
A012650,쌍용건설,12.0,,,
A012700,리드코프,12.0,G40,다각화된금융,기타금융
A012790,신일제약,12.0,G35,제약과생물공학,제약
A012860,서연전자,12.0,G25,자동차와부품,자동차부품
A013030,하이록코리아,12.0,G20,자본재,기계
A013120,동원개발,12.0,G20,자본재,건설
A013210,장복건설,12.0,,,
A013250,대양상호신용금고,6.0,,,
A013310,아진산업,12.0,G25,자동차와부품,자동차부품
A013320,삼경정밀,12.0,,,
A013340,AJS,12.0,,,
A013450,동성하이켐,12.0,,,
A013630,휴먼이노텍,12.0,,,
A013650,데코,12.0,,,
A013690,이랜드리테일,12.0,,,
A013720,청보산업,12.0,G25,자동차와부품,자동차부품
A013730,세원(장외),12.0,,,
A013780,아큐텍,12.0,,,
A013810,스페코,12.0,G20,자본재,기계
A013850,교하산업,12.0,,,
A013900,두원중공업,12.0,,,
A013990,아가방컴퍼니,12.0,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A014090,석천,12.0,,,
A014100,보령메디앙스,12.0,G30,가정용품과개인용품,가정용품
A014190,원익큐브,12.0,G15,소재,화학
A014200,광림,12.0,G20,자본재,기계
A014210,대진동관공업,12.0,,,
A014250,선일옵트론,12.0,,,
A014270,신림종합건설,12.0,,,
A014340,한국종합철관,12.0,,,
A014380,대동,12.0,,,
A014420,프로비타,12.0,,,
A014470,부방,12.0,G25,내구소비재와의류,가정용기기와용품
A014570,고려제약,12.0,G35,제약과생물공학,제약
A014590,티엘씨레저,12.0,,,
A014620,성광벤드,12.0,G20,자본재,기계
A014660,녹십자의공,12.0,,,
A014940,오리엔탈정공,12.0,G20,자본재,조선
A014970,삼륭물산,12.0,G15,소재,포장재
A015050,비전하이테크,12.0,,,
A015060,미주실업,12.0,,,
A015150,다산,12.0,,,
A015170,중앙바이오텍,12.0,,,
A015180,삼송공업,12.0,,,
A015200,성원,12.0,,,
A015390,엘앤씨피,12.0,,,
A015530,큐닉스컴퓨터,12.0,,,
A015710,코콤,12.0,G45,기술하드웨어와장비,통신장비
A015750,성우하이텍,12.0,G25,자동차와부품,자동차부품
A015910,유산실업,12.0,,,
A015920,대림금속공업,3.0,,,
A016040,디에스피,12.0,,,
A016100,리더스코스메틱,12.0,G25,내구소비재와의류,화장품
A016140,웨스테이트,6.0,,,
A016170,카카오M,12.0,,,
A016230,유천건설,12.0,,,
A016250,이테크건설,12.0,G20,자본재,건설
A016310,신우산업기기,9.0,,,
A016600,큐캐피탈,12.0,G40,다각화된금융,창업투자
A016620,우풍금고,6.0,,,
A016670,포비스티앤씨,12.0,G45,소프트웨어와서비스,소프트웨어
A016790,현대사료,12.0,G30,"식품,음료,담배",식품
A016890,대웅바이오,3.0,,,
A016920,카스,12.0,G45,기술하드웨어와장비,전자장비와기기
A016990,LG마이크론,12.0,,,
A017000,신원종합개발,12.0,G20,자본재,건설
A017010,제너비오믹스,12.0,,,
A017050,스타맥스,12.0,,,
A017090,풍연,12.0,,,
A017160,세븐코스프,12.0,,,
A017210,코닉스,12.0,,,
A017211,코닉스보통1신주,,,,
A017250,인터엠,9.0,G45,기술하드웨어와장비,전자장비와기기
A017410,한주개발,12.0,,,
A017480,삼현철강,12.0,G15,소재,철강
A017510,세명전기,12.0,G20,자본재,전기장비
A017620,라인건설,12.0,,,
A017650,대림제지,12.0,G15,소재,포장재
A017680,데코앤이,12.0,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A017740,주화산업,12.0,,,
A017890,한국알콜,12.0,G15,소재,화학
A018000,유니슨,12.0,G20,자본재,기계
A018120,진로발효,12.0,G30,"식품,음료,담배",음료
A018180,텔슨정보통신,12.0,,,
A018230,보성건설,12.0,,,
A018290,지엠피,12.0,G45,기술하드웨어와장비,사무용전자제품
A018310,삼목에스폼,12.0,G20,자본재,건축제품
A018380,유진산업,12.0,,,
A018480,부산리스,3.0,,,
A018620,우진비앤지,12.0,G35,제약과생물공학,제약
A018680,서울제약,12.0,G35,제약과생물공학,제약
A018700,바른손,3.0,G25,미디어,방송과엔터테인먼트
A018720,동양기공,12.0,,,
A018740,에어로시스템,12.0,,,
A018840,금성제관,12.0,,,
A018860,동방티엔씨,12.0,,,
A018890,모라리소스,12.0,,,
A018910,신호테크,12.0,,,
A019010,그랜드백화점,12.0,G25,소매(유통),백화점과일반상점
A019120,경윤하이드로,12.0,,,
A019210,와이지-원,12.0,G20,자본재,기계
A019230,신한종합비료(신비),12.0,,,
A019260,엔케이바이오,12.0,,,
A019430,넥서스투자,12.0,,,
A019460,서울창투,12.0,,,
A019530,한국산업투자,12.0,,,
A019540,일지테크,12.0,G25,자동차와부품,자동차부품
A019550,SBI인베스트먼트,12.0,G40,다각화된금융,창업투자
A019560,한국파트너스,12.0,,,
A019570,제미니투자,3.0,G40,다각화된금융,창업투자
A019590,엠벤처투자,12.0,G40,다각화된금융,창업투자
A019640,희훈디앤지,12.0,,,
A019660,글로본,12.0,G25,내구소비재와의류,화장품
A019730,신한모방,12.0,,,
A019770,서연탑메탈,12.0,G25,자동차와부품,자동차부품
A019990,에너토크,12.0,G20,자본재,기계
A020070,에버리소스,12.0,,,
A020100,태일전자,12.0,,,
A020180,대신정보통신,3.0,G45,소프트웨어와서비스,IT서비스
A020400,대동금속,12.0,G25,자동차와부품,자동차부품
A020490,아이씨켐,12.0,,,
A020620,세본금속,12.0,,,
A020710,시공테크,12.0,G20,상업서비스와공급품,상업서비스와공급품
A020860,리타워테크놀러지스,12.0,,,
A020880,동마산업,12.0,,,
A021040,대호피앤씨,12.0,G15,소재,철강
A021060,한림창투,12.0,,,
A021080,에이티넘인베스트,12.0,G40,다각화된금융,창업투자
A021090,케미그라스,12.0,,,
A021220,삼화정밀,12.0,,,
