Code,Name,결산월,WICS업종코드(대),WICS업종명(중),WICS업종명(소)
A000010,신한은행,12,,,
A000020,동화약품,12,G35,제약과생물공학,제약
A000030,우리은행,12,G40,은행,은행
A000040,KR모터스,12,G25,자동차와부품,자동차
A000050,경방,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A000060,메리츠화재,12,G40,보험,손해보험
A000070,삼양홀딩스,12,G30,"식품,음료,담배",식품
A000080,하이트진로,12,G30,"식품,음료,담배",음료
A000090,두산상사,12,,,
A000100,유한양행,12,G35,제약과생물공학,제약
A000110,한국스탠다드차타드은행,12,,,
A000120,CJ대한통운,12,G20,운송,항공화물운송과물류
A000130,한일은행,12,,,
A000140,하이트진로홀딩스,12,G30,"식품,음료,담배",음료
A000150,두산,12,G20,자본재,복합기업
A000160,대한중석,12,,,
A000170,엘지금속,12,,,
A000180,성창기업지주,12,G15,소재,종이와목재
A000200,대우중공업,12,,,
A000210,대림산업,12,G20,자본재,건설
A000220,유유제약,12,G35,제약과생물공학,제약
A000230,일동홀딩스,12,G35,제약과생물공학,제약
A000240,한국타이어월드와이드,12,G25,자동차와부품,자동차부품
A000270,기아차,12,G25,자동차와부품,자동차
A000280,동아건설산업,12,,,
A000300,대유플러스,12,G25,자동차와부품,자동차부품
A000310,해태제과,6,,,
A000320,노루홀딩스,12,G20,자본재,건축자재
A000330,두산백화,12,,,
A000360,삼환기업,12,,,
A000370,한화손해보험,12,G40,보험,손해보험
A000390,삼화페인트,12,G20,자본재,건축자재
A000400,롯데손해보험,12,G40,보험,손해보험
A000420,로케트전기,12,,,
A000430,대원강업,12,G25,자동차와부품,자동차부품
A000450,한주통산,12,,,
A000470,그린손해보험,3,,,
A000480,조선내화,12,G15,소재,비철금속
A000490,대동공업,12,G20,자본재,기계
A000500,가온전선,12,G20,자본재,전기장비
A000510,태화,12,,,
A000520,삼일제약,12,G35,제약과생물공학,제약
A000540,흥국화재,12,G40,보험,손해보험
A000570,금호건설,12,,,
A000590,CS홀딩스,12,G15,소재,철강
A000610,제일화재,3,,,
A000640,동아쏘시오홀딩스,12,G35,제약과생물공학,제약
A000650,천일고속,12,G20,운송,도로와철도운송
A000660,SK하이닉스,12,G45,반도체와반도체장비,반도체와반도체장비
A000670,영풍,12,G45,기술하드웨어와장비,핸드셋
A000680,LS네트웍스,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A000700,유수홀딩스,12,G20,운송,항공화물운송과물류
A000720,현대건설,12,G20,자본재,건설
A000730,서울교통공사,12,,,
A000760,이화산업,12,G15,소재,화학
A000790,C&상선,12,,,
A000800,경남기업,12,,,
A000810,삼성화재,12,G40,보험,손해보험
A000830,삼성물산,12,,,
A000840,한국벨트,12,,,
A000850,화천기공,12,G20,자본재,기계
A000860,강남제비스코,12,G20,자본재,건축자재
A000880,한화,12,G15,소재,화학
A000890,보해양조,12,G30,"식품,음료,담배",음료
A000900,강원산업,12,,,
A000910,유니온,12,G20,자본재,건축자재
A000930,한화기계,12,,,
A000950,전방,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A000970,한국주철관,3,G15,소재,철강
A000980,극동건설,12,,,
A000990,DB하이텍,12,G45,반도체와반도체장비,반도체와반도체장비
A001020,페이퍼코리아,12,G15,소재,종이와목재
A001030,리젠트화재해상보험,3,,,
A001040,CJ,12,G20,자본재,복합기업
A001060,JW중외제약,12,G35,제약과생물공학,제약
A001070,대한방직,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A001080,만호제강,6,G15,소재,철강
A001090,동서증권,3,,,
A001100,동양정밀공업,12,,,
A001110,대농,12,,,
A001120,LG상사,12,G20,자본재,무역회사와판매업체
A001130,대한제분,12,G30,"식품,음료,담배",식품
A001140,국보,12,G20,운송,항공화물운송과물류
A001150,서통,12,,,
A001160,신원제이엠씨,12,,,
A001170,장은증권,3,,,
A001190,마이크로닉스,12,,,
A001200,유진투자증권,12,G40,증권,증권
A001210,금호전기,12,G45,디스플레이,디스플레이장비및부품
A001230,동국제강,12,G15,소재,철강
A001250,GS글로벌,12,G20,자본재,무역회사와판매업체
A001260,남광토건,12,G20,자본재,건설
A001270,부국증권,12,G40,증권,증권
A001280,우리증권,3,,,
A001290,골든브릿지증권,12,G40,증권,증권
A001300,제일모직,12,,,
A001310,풍림산업,12,,,
A001340,백광산업,12,G15,소재,화학
A001350,대한모방,12,,,
A001360,삼성제약,12,G35,제약과생물공학,제약
A001370,FnC코오롱,12,,,
A001380,SG충방,12,G25,자동차와부품,자동차부품
A001390,KG케미칼,12,G15,소재,화학
A001400,동산씨앤지,12,,,
A001420,태원물산,12,G25,자동차와부품,자동차부품
A001430,세아베스틸,12,G15,소재,철강
A001440,대한전선,12,G20,자본재,전기장비
A001450,현대해상,12,G40,보험,손해보험
A001460,BYC,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A001470,삼부토건,12,G20,자본재,건설
A001490,천지산업,12,,,
A001500,현대차증권,12,G40,증권,증권
A001510,SK증권,12,G40,증권,증권
A001520,동양,12,G20,자본재,건축자재
A001530,동일방직,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A001550,조비,12,G15,소재,화학
A001560,제일연마,12,G15,소재,비철금속
A001570,금양,12,G15,소재,화학
A001580,신광기업,3,,,
A001590,일화모직공업,11,,,
A001600,서광건설,12,,,
A001610,두산종합식품,12,,,
A001620,동국실업,12,G25,자동차와부품,자동차부품
A001630,종근당홀딩스,12,G35,제약과생물공학,제약
A001670,경남모직,12,,,
A001680,대상,12,G30,"식품,음료,담배",식품
A001690,두산테크팩,12,,,
A001700,공영토건,12,,,
A001720,신영증권,3,G40,증권,증권
A001740,SK네트웍스,12,G20,자본재,복합기업
A001750,한양증권,12,G40,증권,증권
A001770,신화실업,12,G15,소재,철강
A001780,알루코,12,G15,소재,비철금속
A001790,대한제당,12,G30,"식품,음료,담배",식품
A001800,오리온홀딩스,12,G30,"식품,음료,담배",식품
A001820,삼화콘덴서,12,G45,전자와 전기제품,전기제품
A001830,동부일렉트로닉스,12,,,
A001880,삼호,12,G20,자본재,건설
A001890,에이치디씨영창,12,,,
A001920,한보철강공업,12,,,
A001930,효성물산,12,,,
A001940,KISCO홀딩스,12,G15,소재,철강
A001950,남한제지,6,,,
A001970,SG신성건설,12,,,
A001980,대호,12,,,
A002000,한국유리,12,,,
A002010,삼성건설,12,,,
A002020,코오롱,12,G15,소재,화학
A002030,아세아,12,G15,소재,포장재
A002050,경향건설,12,,,
A002070,남영비비안,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A002080,벽산개발,12,,,
A002100,경농,12,G15,소재,화학
A002130,피어리스,12,,,
A002140,고려산업,12,G30,"식품,음료,담배",식품
A002150,도화엔지니어링,12,G20,자본재,건설
A002170,삼양통상,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A002180,삼익건설,12,,,
A002200,수출포장,12,G15,소재,포장재
A002210,동성제약,12,G35,제약과생물공학,제약
A002220,한일철강,12,G15,소재,철강
A002240,고려제강,12,G15,소재,철강
A002250,알보젠코리아,12,G35,제약과생물공학,제약
A002270,롯데푸드,12,G30,"식품,음료,담배",식품
A002300,한국제지,12,G15,소재,종이와목재
A002310,아세아제지,12,G15,소재,포장재
A002320,한진,12,G20,운송,항공화물운송과물류
A002340,유성,12,,,
A002350,넥센타이어,12,G25,자동차와부품,자동차부품
A002360,SH에너지화학,12,G15,소재,화학
A002380,KCC,12,G20,자본재,건축자재
A002390,한독,12,G35,제약과생물공학,제약
A002410,범양건영,12,G20,자본재,건설
A002420,세기상사,12,G25,미디어,방송과엔터테인먼트
A002440,미원,12,,,
A002450,삼익악기,12,G25,내구소비재와의류,레저용장비와제품
A002460,화성산업,12,G20,자본재,건설
A002470,신영건설,12,,,
A002530,벽산건설,12,,,
A002540,고제,12,,,
A002550,KB손해보험,12,,,
A002580,삼미,12,,,
A002600,조흥,12,G30,"식품,음료,담배",식품
A002610,LGEI,12,,,
A002620,제일파마홀딩스,12,G35,제약과생물공학,제약
A002630,오리엔트바이오,3,G25,자동차와부품,자동차부품
A002690,동일제강,12,G15,소재,철강
A002700,신일산업,12,G25,내구소비재와의류,가정용기기와용품
A002710,TCC동양,12,G15,소재,철강
A002720,국제약품,12,G35,제약과생물공학,제약
A002730,고려증권,3,,,
A002740,동양화학공업,12,,,
A002760,보락,12,G30,"식품,음료,담배",식품
A002780,진흥기업,12,G20,자본재,건설
A002790,아모레G,12,G25,내구소비재와의류,화장품
A002810,삼영무역,12,G15,소재,화학
A002820,선창산업,12,G15,소재,종이와목재
A002840,미원상사,12,G15,소재,화학
A002850,영풍산업,12,,,
A002860,하나은행,12,,,
A002870,신풍제지,12,G15,소재,포장재
A002880,대유에이텍,12,G25,자동차와부품,자동차부품
A002900,동양물산,12,G20,자본재,기계
A002910,진성레미컨,12,,,
A002920,유성기업,12,G25,자동차와부품,자동차부품
A002930,삼도물산,12,,,
A002940,경동산업,3,,,
A002950,두산건설,12,,,
A002960,한국쉘석유,12,G10,에너지,석유와가스
A002990,금호산업,12,G20,자본재,건설
A003000,부광약품,12,G35,제약과생물공학,제약
A003010,혜인,12,G20,자본재,무역회사와판매업체
A003020,남양,6,,,
A003030,세아제강지주,12,G15,소재,철강
A003040,한일약품,12,,,
A003050,넥상스코리아,12,,,
A003060,에이프로젠제약,12,G35,제약과생물공학,제약
A003070,코오롱글로벌,12,G20,자본재,건설
A003080,성보화학,12,G15,소재,화학
A003090,대웅,12,G35,제약과생물공학,제약
A003110,대일화학공업,12,,,
A003120,일성신약,12,G35,제약과생물공학,제약
A003160,디아이,12,G45,반도체와반도체장비,반도체와반도체장비
A003190,알앤엘바이오,12,,,
A003200,일신방직,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A003220,대원제약,12,G35,제약과생물공학,제약
A003230,삼양식품,12,G30,"식품,음료,담배",식품
A003240,태광산업,12,G15,소재,화학
A003260,서광,12,,,
A003280,흥아해운,12,G20,운송,해운사
A003290,엔케이텔레콤,12,,,
A003300,한일홀딩스,12,G20,자본재,건축자재
A003320,신한증권,3,,,
A003330,하나증권,3,,,
A003350,한국화장품제조,12,G25,내구소비재와의류,화장품
A003400,삼성신약,12,,,
A003410,쌍용양회,12,G20,자본재,건축자재
A003450,케이비증권,12,,,
A003460,유화증권,12,G40,증권,증권
A003470,유안타증권,12,G40,증권,증권
A003480,한진중공업홀딩스,12,G20,자본재,조선
A003490,대한항공,12,G20,운송,항공사
A003500,삼진화학,12,,,
A003520,영진약품,12,G35,제약과생물공학,제약
A003530,한화투자증권,12,G40,증권,증권
A003540,대신증권,12,G40,증권,증권
A003550,LG,12,G20,자본재,복합기업
A003560,IHQ,12,G25,미디어,방송과엔터테인먼트
A003570,S&T중공업,12,G25,자동차와부품,자동차부품
A003580,넥스트사이언스,12,G20,자본재,건축자재
A003590,광덕물산,3,,,
A003600,SK,12,,,
A003610,방림,9,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A003620,쌍용차,12,G25,자동차와부품,자동차
A003640,유니온스틸,12,,,
A003650,미창석유,12,G10,에너지,석유와가스
A003660,고려시멘트,12,,,
A003680,한성기업,12,G30,"식품,음료,담배",식품
A003690,코리안리,12,G40,보험,손해보험
A003720,삼영화학,12,G15,소재,화학
A003780,진양산업,12,G15,소재,화학
A003810,대우,12,,,
A003830,대한화섬,12,G15,소재,화학
A003840,중원,12,,,
A003850,보령제약,12,G35,제약과생물공학,제약
A003900,해태유업,12,,,
A003920,남양유업,12,G30,"식품,음료,담배",식품
A003930,부흥,12,,,
A003940,삼양제넥스,12,,,
A003960,사조대림,12,G30,"식품,음료,담배",식품
A003970,동부산업,12,,,
A003980,한일합섬,12,,,
A003990,BHK,12,,,
A004000,롯데정밀화학,12,G15,소재,화학
A004010,롯데미도파,12,,,
A004020,현대제철,12,G15,소재,철강
A004060,SG세계물산,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A004080,신흥,12,G35,건강관리장비와서비스,건강관리장비와용품
A004090,한국석유,12,G15,소재,화학
A004100,태양금속,12,G25,자동차와부품,자동차부품
A004110,대선주조,12,,,
A004130,대덕GDS,12,,,
A004140,동방,12,G20,운송,항공화물운송과물류
A004150,한솔홀딩스,12,G15,소재,종이와목재
A004170,신세계,12,G25,소매(유통),백화점과일반상점
A004190,스마텔,12,,,
A004200,고려개발,12,G20,자본재,건설
A004210,한일방직,6,,,
A004230,세신,12,,,
A004250,NPC,12,G15,소재,화학
A004260,대성자원,12,,,
A004270,남성,12,G45,기술하드웨어와장비,전자장비와기기
A004280,아시아자동차공업,12,,,
A004290,아이케이엔터프라이즈,12,,,
A004310,현대약품,11,G35,제약과생물공학,제약
A004330,진영산업,8,,,
A004350,한일양행의약품,12,,,
A004360,세방,12,G20,운송,항공화물운송과물류
A004370,농심,12,G30,"식품,음료,담배",식품
A004380,삼익THK,12,G20,자본재,기계
A004390,오리온전기,12,,,
A004410,서울식품,12,G30,"식품,음료,담배",식품
A004420,동국무역,12,,,
A004430,송원산업,12,G15,소재,화학
